
Id,YellowKey,Date,DiscountFactor
S0023D 1Y BLC2,Curncy,2013-05-03,0.997062
S0023D 1Y BLC2,Curncy,2013-05-10,0.996987
S0023D 1Y BLC2,Curncy,2013-05-17,0.996859
S0023D 1Y BLC2,Curncy,2013-05-24,0.996834
S0023D 1Y BLC2,Curncy,2013-05-31,0.996592
S0023D 1Y BLC2,Curncy,2013-06-07,0.996608
S0023D 1Y BLC2,Curncy,2013-06-14,0.996835
S0023D 1Y BLC2,Curncy,2013-06-21,0.996321
S0023D 1Y BLC2,Curncy,2013-06-28,0.996418
S0023D 1Y BLC2,Curncy,2013-07-05,0.996193
S0023D 1Y BLC2,Curncy,2013-07-12,0.996425
S0023D 1Y BLC2,Curncy,2013-07-19,0.996649
S0023D 1Y BLC2,Curncy,2013-07-26,0.996651
S0023D 1Y BLC2,Curncy,2013-08-02,0.99671
S0023D 1Y BLC2,Curncy,2013-08-09,0.996715
S0023D 1Y BLC2,Curncy,2013-08-16,0.996619
S0023D 1Y BLC2,Curncy,2013-08-23,0.99653
S0023D 1Y BLC2,Curncy,2013-08-30,0.996641
S0023D 1Y BLC2,Curncy,2013-09-06,0.996591
S0023D 1Y BLC2,Curncy,2013-09-13,0.996598
S0023D 1Y BLC2,Curncy,2013-09-20,0.996901
S0023D 1Y BLC2,Curncy,2013-09-27,0.996887
S0023D 1Y BLC2,Curncy,2013-10-04,0.996872
S0023D 1Y BLC2,Curncy,2013-10-11,0.996728
S0023D 1Y BLC2,Curncy,2013-10-18,0.996952
S0023D 1Y BLC2,Curncy,2013-10-25,0.997063
S0023D 1Y BLC2,Curncy,2013-11-01,0.997123
S0023D 1Y BLC2,Curncy,2013-11-08,0.997164
S0023D 1Y BLC2,Curncy,2013-11-15,0.997274
S0023D 1Y BLC2,Curncy,2013-11-22,0.997366
S0023D 1Y BLC2,Curncy,2013-11-29,0.997325
S0023D 1Y BLC2,Curncy,2013-12-06,0.997325
S0023D 1Y BLC2,Curncy,2013-12-13,0.997127
S0023D 1Y BLC2,Curncy,2013-12-20,0.996959
S0023D 1Y BLC2,Curncy,2013-12-27,0.996931
S0023D 1Y BLC2,Curncy,2014-01-03,0.996929
S0023D 1Y BLC2,Curncy,2014-01-10,0.996977
S0023D 1Y BLC2,Curncy,2014-01-17,0.997027
S0023D 1Y BLC2,Curncy,2014-01-24,0.996958
S0023D 1Y BLC2,Curncy,2014-01-31,0.997176
S0023D 1Y BLC2,Curncy,2014-02-07,0.997313
S0023D 1Y BLC2,Curncy,2014-02-14,0.997386
