"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00314684406781463,0.00651555539736838,0.0113170483145861,0.0179630422609951,0.0244144504013989,"BB"
"249",15825,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00323815871336511,0.00622423155738794,0.0107670314364011,0.0169840863593098,0.0231503259023671,"BB"
"5",15826,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00312959369026127,0.00604715263436304,0.0103361239054229,0.0165233661000816,0.0227200516161192,"BB"
"13",15827,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00288093115796373,0.00595745991800996,0.0103161358690989,0.0160732155386485,0.0221767193524818,"BB"
"23",15828,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.002958868503768,0.00606924542397713,0.0102351635983169,0.0157653147001274,0.0215490979220221,"BB"
"49",15831,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00296169070197688,0.00600675685552402,0.0101750109571435,0.0157747504794521,0.0214919069158698,"BB"
"58",15832,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00285077578703136,0.00582863305956525,0.00985739720725879,0.0152604795883925,0.0208922622499087,"BB"
"65",15833,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00288260949948153,0.00588518405397287,0.00994039637069455,0.0153711343805326,0.0210486392803705,"BB"
"73",15834,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00298022482946472,0.00598872212225229,0.00998230002600615,0.0154693515513521,0.0214730801428279,"BB"
"83",15835,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00294477988896856,0.00621773080903795,0.0102059538724934,0.0157405521605966,0.0216663516547771,"BB"
"109",15838,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00319782433582641,0.006474037948704,0.0106714252963345,0.0164362119355853,0.0225858056292168,"BB"
"118",15839,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00324938058258292,0.0064635238311762,0.0105575375048953,0.0163195428366192,0.0224621438567861,"BB"
"125",15840,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00347617119748749,0.00672671107880725,0.0108664288139387,0.0166645581364048,0.0228423758371305,"BB"
"133",15841,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.0033299979397097,0.00658532199398746,0.0107279332073098,0.0165435876107807,0.0227390303343927,"BB"
"143",15842,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00333829657784218,0.00664053696424168,0.0108188015679412,0.0166743227618429,0.0229097878337053,"BB"
"169",15845,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00324781428205673,0.00659278789360982,0.0108210903403213,0.0167111549395679,0.0229672812558191,"BB"
"178",15846,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00335474552083626,0.00671243193069057,0.0109573869385947,0.0168145827761103,0.0231014288844746,"BB"
"185",15847,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00348812191800195,0.00705200065691711,0.0113611589985685,0.017485181850181,0.0239664728380052,"BB"
"193",15848,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00345957374628043,0.00723704938379595,0.0116446933008605,0.0178293158032445,0.0243097826232835,"BB"
"203",15849,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00376262792800162,0.00800493202166644,0.0128391304010102,0.0193844253584327,0.0262449910962127,"BB"
"229",15852,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00343276247046608,0.00774307537439121,0.0126402969079916,0.0192403614933315,0.026158900225986,"BB"
"238",15853,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00372598862263739,0.00790423799294712,0.0128407020919431,0.0194067137063056,0.0262541582790457,"BB"
"246",15854,"LEVI-+Co","Levi Strauss & Co","SNRFOR","XR",0.00401508733993944,0.00834674945152584,0.0135506985916437,0.0203143644127028,0.0274894798940975,"BB"
