"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"496",15460,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000751559328004173,0.00118810277872186,0.00162995493739909,0.00214005007972153,0.00264628051787235,"A"
"11",15461,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000745073148473273,0.00117537651357838,0.00160909242191529,0.00211011387091477,0.00260666352472045,"A"
"26",15462,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000651645968263697,0.00111321494868404,0.00152975247994163,0.00201681098065023,0.00250039555845004,"A"
"44",15463,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000657895723947587,0.00112396131318262,0.00154557597993622,0.00203721421037812,0.00252496158156841,"A"
"63",15464,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00066697988265951,0.0011150856001607,0.00159660462754342,0.00209593663507298,0.00258158863690819,"A"
"115",15467,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000670093746428819,0.00112530752924296,0.00156937969706716,0.00206965151581257,0.00256602302337397,"A"
"131",15468,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000659090555267334,0.00111864549005153,0.00160381093520847,0.00210525071520665,0.00261151200030606,"A"
"146",15469,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000735369427388444,0.00119798048102304,0.00164843587169583,0.0021584795784424,0.00266028576156997,"A"
"164",15470,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000760928179711559,0.00119922392091382,0.00169646358483838,0.00218661337134354,0.00268837719008603,"A"
"183",15471,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000793672091593837,0.00121052910784565,0.00172780761465257,0.00226574862097687,0.0028156180375209,"A"
"235",15474,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000868585571395091,0.0013697152472416,0.00192528927187024,0.00248800140388449,0.0030593404892071,"A"
"251",15475,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000944130111148827,0.00147192768821459,0.00207207849781677,0.00266488409248007,0.00327002756473793,"A"
"266",15476,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000939596955469127,0.00146807438497762,0.00205934733359766,0.00265781230157048,0.00326563668503332,"A"
"284",15477,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000931370835085728,0.00148049218132917,0.00210079912228232,0.00271088873772669,0.00335484593728124,"A"
"303",15478,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000912274203387661,0.00149600131738033,0.00208383287094786,0.0027100334449492,0.00332850276301459,"A"
"355",15481,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00102986088068736,0.00156621649091015,0.00212317326424052,0.00273311351434916,0.00334484525324209,"A"
"371",15482,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00087432083297704,0.00140870484638609,0.00195281809517489,0.00251391581771631,0.00311047643317895,"A"
"386",15483,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000977669832827781,0.00148703568061856,0.00201315020764762,0.00256953823248144,0.00316116588060635,"A"
"404",15484,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000997570422948366,0.00150675208614832,0.00203286030564552,0.00258909975883889,0.00318077314384261,"A"
"423",15485,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000983969252102942,0.00149535968819213,0.00203578647043207,0.00260292644322428,0.00320132066732623,"A"
"475",15488,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000983781048385617,0.00149497688020097,0.00203541822196669,0.00260245721203056,0.00320057192407781,"A"
"490",15489,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000829078887143162,0.00136744742057884,0.00195445242678064,0.0025611639167926,0.00315449505443865,"A"
"506",15490,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000891186660468965,0.00142794090715396,0.0020051155595846,0.00261704888425231,0.00321239657184529,"A"
"520",15491,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000891162505255,0.00142790265946903,0.00200487944939473,0.00261657002657395,0.00321163389251862,"A"
"9",15492,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000897608945399552,0.00144053438277997,0.00202393765381909,0.00264175950733546,0.00324239874652186,"A"
"59",15495,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000888497572921061,0.0014163836281534,0.00194493410610982,0.00254504438545541,0.00316290347456657,"A"
"77",15496,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000888409604784746,0.00141626563252672,0.001945128176709,0.00254563748719855,0.00316390955003755,"A"
"94",15497,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000909187633653081,0.00145764204074403,0.00197900558220241,0.00257109460252693,0.00315188842017414,"A"
"111",15498,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000889831832764686,0.00142928529848761,0.00194123080082966,0.00252239773377248,0.0030928568597796,"A"
"129",15499,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000856835048236193,0.00138225730745584,0.0019235837966841,0.00251550690558314,0.00310049329920821,"A"
"179",15502,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000765405781804661,0.00130604564992987,0.00185707265906531,0.00245108017054592,0.00305408961645137,"A"
"197",15503,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000810176950248175,0.00135575817350649,0.00189845714096748,0.00243836749251094,0.00308620503869776,"A"
"214",15504,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000822994332321078,0.00134520448748343,0.00187759536207912,0.00247539453357592,0.00309136153001956,"A"
"231",15505,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000820082783679708,0.00134812128586511,0.00186672778540115,0.00244061254726384,0.00303747740750171,"A"
"249",15506,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000816762315130926,0.00132945318951452,0.00187534468287804,0.00244836924769723,0.00300641801648694,"A"
"299",15509,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000789008072863087,0.00131631996188314,0.00185357868964377,0.00242408137116718,0.00298746936534608,"A"
"317",15510,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000800768608112304,0.00130140145367421,0.00183156011593047,0.002389861936753,0.00295474147069153,"A"
"334",15511,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000819448939081199,0.00132951451475829,0.00186982001197694,0.00244035138626385,0.00302036891571931,"A"
"351",15512,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000854403373993656,0.00138593868205771,0.00194966481373949,0.0025457027949538,0.00315094928545282,"A"
"369",15513,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000877636512663024,0.00140575788643129,0.0019768396920492,0.00258238855387529,0.00317936237685408,"A"
"419",15516,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000888335754994501,0.00143914197712291,0.00200562226547304,0.00262802452209215,0.00324940325304466,"A"
"437",15517,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000907653885884238,0.0014792721465986,0.00207665356910274,0.00271939151875396,0.00335068675646812,"A"
"454",15518,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.000911703370958081,0.00150391257506118,0.00217296399855417,0.00283302645413855,0.00353412188292341,"A"
"471",15519,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00103689398749369,0.00162549825938029,0.00228100110958678,0.00294500339881054,0.00363897824131036,"A"
"488",15520,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00100870640559042,0.00158575568943088,0.00218408009659645,0.00285982814743569,0.00354717915889707,"A"
