"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"145",15093,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00133366402203746,0.00197716395109007,0.0025246716778988,0.00329426983583539,0.00400772367939003,"A"
"29",15100,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00109441603634972,0.00176330649168646,0.00245004247056432,0.00323339654912897,0.0040655310279751,"A"
"65",15107,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00111277622763783,0.0018145320712457,0.00248267020930393,0.00330349326525046,0.00416232867277546,"A"
"101",15114,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00118065716429344,0.0017324042719556,0.0022763058342942,0.0030567866646801,0.00388520333660046,"A"
"137",15121,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00112000915948131,0.00175160730299363,0.00237120722933656,0.00312172925173944,0.00396606554877067,"A"
"14",15128,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00096046825075241,0.0016157485339025,0.00233342287482027,0.00313839038776601,0.00396919120352633,"A"
"50",15135,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00117119379478794,0.00171925734327859,0.00228462522213781,0.00309514877199539,0.00396705879046307,"A"
"86",15142,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.0011213733244505,0.00168287680496004,0.00230427268208377,0.00306832079656971,0.00389602911877351,"A"
"122",15149,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00109262669245478,0.00173933784279399,0.00242759867448239,0.00325408566298565,0.00409987244365614,"A"
"2",15156,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.0010688929366066,0.00169954533218031,0.00233296667115533,0.0030521663549734,0.00387239708060615,"A"
"38",15163,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00121466288640627,0.00180692725248949,0.00234068792115641,0.00309843894441116,0.00391898415694871,"A"
"74",15170,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00114292792499393,0.00184189308869649,0.00252266165488789,0.0032909685736948,0.00413843306483761,"A"
"110",15177,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00124949187642603,0.00194415665407885,0.00245716064149129,0.00324945784745981,0.00402828391257686,"A"
"146",15184,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00112277285280106,0.00170216010854427,0.00231651775768924,0.00317933459253574,0.00403266012024637,"A"
"22",15191,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00122270625994043,0.00186440117198954,0.00252308923530538,0.00335304967982745,0.00417817287758841,"A"
"58",15198,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00162369498227078,0.00233512388596767,0.0029598892043141,0.00376920320391769,0.00456561649129392,"A"
"94",15205,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00136362169877889,0.00198084161484505,0.00281710216399857,0.00366386974843433,0.00450036393809578,"A"
"130",15212,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00152569794058245,0.00215996067388925,0.00277478847456657,0.00356896417707646,0.00436193092920369,"A"
"10",15219,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00145718079453709,0.00203578977250941,0.00273966998987742,0.00349262935300983,0.00420688217181229,"A"
"46",15226,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00162739259125817,0.00224026562850396,0.00284858098854627,0.00363363543429775,0.00440909932604386,"A"
"82",15233,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00129200037735756,0.00194776887535452,0.00262451683935644,0.00335030031035019,0.00413068884408133,"A"
"118",15240,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00161676989846332,0.00228909049458782,0.00292342569398612,0.00369068570592483,0.00442945081339175,"A"
"154",15247,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00144487233804963,0.00210990681445085,0.00279841518446559,0.00351767985471416,0.00418990555556544,"A"
"35",15254,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.0013990707626175,0.00203789485046471,0.00271162183470379,0.00343980518094139,0.00415010164063591,"A"
"71",15261,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00138320702872606,0.00203321531884203,0.00267238970050769,0.00338558059569023,0.0041104628387564,"A"
"107",15268,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00144964006442977,0.00201789096559483,0.00269579093711506,0.00343728784300156,0.00415593551590707,"A"
"143",15275,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.00139604437025516,0.00197887462032437,0.00267095919146016,0.00339225192131222,0.00407473758150695,"A"
"19",15282,"BMY","Bristol Myers Squibb Co","SNRFOR","XR",0.0014277219104198,0.00204513948112716,0.00272662672975888,0.00349949627115805,0.00424761920189529,"A"
