"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"DELLN","Dell Inc","SNRFOR","XR",0.00396160759463007,0.0081708284903282,0.0158308877935858,0.0232121714455213,0.0319108110108795,"BB"
"249",15825,"DELLN","Dell Inc","SNRFOR","XR",0.00404334518433363,0.00813995141765559,0.0158446371402806,0.0232444725713071,0.0319460282807597,"BB"
"5",15826,"DELLN","Dell Inc","SNRFOR","XR",0.00398767842263293,0.0080916605540308,0.0157996048653829,0.0232724613958046,0.0319629645513947,"BB"
"13",15827,"DELLN","Dell Inc","SNRFOR","XR",0.00392603515032817,0.00779529766013609,0.0154689163589175,0.0229062421142355,0.0315519320500082,"BB"
"23",15828,"DELLN","Dell Inc","SNRFOR","XR",0.00369184756293535,0.00785793752122598,0.0151908168759242,0.0224610703072512,0.0310444807343389,"BB"
"49",15831,"DELLN","Dell Inc","SNRFOR","XR",0.00367392199953569,0.00776634740270321,0.0151037743013523,0.0224610035703741,0.0310353593313419,"BB"
"58",15832,"DELLN","Dell Inc","SNRFOR","XR",0.00355738296218591,0.00745147165848763,0.0144408879023491,0.0215542013015909,0.0297696476084396,"BB"
"65",15833,"DELLN","Dell Inc","SNRFOR","XR",0.00359981739774493,0.00733768655947257,0.0142900335044751,0.0215680049437224,0.029718940469534,"BB"
"73",15834,"DELLN","Dell Inc","SNRFOR","XR",0.00323066770668635,0.00674986269727828,0.0146704643896478,0.0215483526805142,0.0295145837407834,"BB"
"83",15835,"DELLN","Dell Inc","SNRFOR","XR",0.00341367774343754,0.00680202142487184,0.0145703868329297,0.0215394213488455,0.0296108426376273,"BB"
"109",15838,"DELLN","Dell Inc","SNRFOR","XR",0.00381949500312261,0.00753571666537418,0.0146627642362243,0.0219670759156224,0.0302092684455,"BB"
"118",15839,"DELLN","Dell Inc","SNRFOR","XR",0.0036983184988022,0.007303920693055,0.0151985808150034,0.022569360776805,0.030990744692967,"BB"
"125",15840,"DELLN","Dell Inc","SNRFOR","XR",0.00374248992614557,0.0073354260274655,0.0152520354285289,0.0227197458029259,0.0310988133540353,"BB"
"133",15841,"DELLN","Dell Inc","SNRFOR","XR",0.0035639890316912,0.00712823241700354,0.0153038614562043,0.0228375811028468,0.0311582141642048,"BB"
"143",15842,"DELLN","Dell Inc","SNRFOR","XR",0.00382052872046782,0.00757073314314316,0.0149968741389191,0.0225752136485244,0.0309000647893526,"BB"
"169",15845,"DELLN","Dell Inc","SNRFOR","XR",0.00374895485938722,0.0076447911269911,0.0149249007600321,0.0223057695904865,0.0305923178543996,"BB"
"178",15846,"DELLN","Dell Inc","SNRFOR","XR",0.00336386843526973,0.00689540968720851,0.0149483528936371,0.022262665596024,0.0303785616972844,"BB"
"185",15847,"DELLN","Dell Inc","SNRFOR","XR",0.00321430879614476,0.00664850379681542,0.0145904370914274,0.0219429303281329,0.030040522975355,"BB"
"193",15848,"DELLN","Dell Inc","SNRFOR","XR",0.00327872836305827,0.00677499043168936,0.014611868352679,0.0219289524453031,0.0300235489198753,"BB"
"203",15849,"DELLN","Dell Inc","SNRFOR","XR",0.00319357462819413,0.00684873960998738,0.0146840547486396,0.0220320064397725,0.030118809692944,"BB"
"229",15852,"DELLN","Dell Inc","SNRFOR","XR",0.00319568717300986,0.00686746869533291,0.0147258735692928,0.0220823834279427,0.0301707943846463,"BB"
"238",15853,"DELLN","Dell Inc","SNRFOR","XR",0.00322949604963207,0.00683793405085143,0.0148637495311564,0.0219050181964948,0.0297976683338253,"BB"
"246",15854,"DELLN","Dell Inc","SNRFOR","XR",0.00364015246780842,0.0076311516329337,0.014689519669941,0.0219374337534281,0.0298538139693538,"BB"
"255",15855,"DELLN","Dell Inc","SNRFOR","XR",0.00355595271504333,0.00749586568881553,0.0145656588343166,0.0219131710444853,0.0297097413279388,"BB"
"262",15856,"DELLN","Dell Inc","SNRFOR","XR",0.00384282862452441,0.00757088623332566,0.0148232902463048,0.0223491412206717,0.0303425912732578,"BB"
"21",15859,"DELLN","Dell Inc","SNRFOR","XR",0.0041312672786508,0.00804868353876561,0.0152434262998856,0.0226517312604872,0.030868366798758,"BB"
"30",15860,"DELLN","Dell Inc","SNRFOR","XR",0.0041301805946691,0.00810284072116017,0.0153612775998752,0.0228280092947998,0.0311539295433344,"BB"
"39",15861,"DELLN","Dell Inc","SNRFOR","XR",0.00441190152754556,0.00881370019606139,0.016888805993783,0.0247620000274531,0.0333756266931965,"BB"
"47",15862,"DELLN","Dell Inc","SNRFOR","XR",0.00425702444811602,0.00866306366182923,0.0167870365523281,0.024845948063398,0.0335032972391553,"BB"
"56",15863,"DELLN","Dell Inc","SNRFOR","XR",0.00382547661904474,0.00824237673224639,0.0162316977522896,0.0237526579241001,0.0323358147861133,"BB"
"81",15866,"DELLN","Dell Inc","SNRFOR","XR",0.00388127875173107,0.00839908092287433,0.0162062092187822,0.0239995515097672,0.0324438972573519,"BB"
"90",15867,"DELLN","Dell Inc","SNRFOR","XR",0.00408992844791337,0.00834388622022183,0.0163414764605331,0.0239121606399607,0.032486277757868,"BB"
"99",15868,"DELLN","Dell Inc","SNRFOR","XR",0.00402865449833891,0.00839172251254066,0.0164400810241803,0.0240381065689583,0.0325477531539381,"BB"
"107",15869,"DELLN","Dell Inc","SNRFOR","XR",0.00377555313002717,0.00814952423119024,0.015940863025198,0.0235176830300608,0.031852186679776,"BB"
"116",15870,"DELLN","Dell Inc","SNRFOR","XR",0.00357713101475492,0.00815709645901178,0.0157809236026613,0.0235756218773278,0.0318192409106363,"BB"
"141",15873,"DELLN","Dell Inc","SNRFOR","XR",0.00391010956448806,0.00823352158574022,0.0154437747623042,0.0232875841606699,0.0316507773456592,"BB"
"150",15874,"DELLN","Dell Inc","SNRFOR","XR",0.00394906556597404,0.00840514865600342,0.0156252810016953,0.0233793891572319,0.0318408688259528,"BB"
"159",15875,"DELLN","Dell Inc","SNRFOR","XR",0.00397250348829927,0.00823212485329781,0.0161352825646624,0.0235799730734259,0.032372787658951,"BB"
"167",15876,"DELLN","Dell Inc","SNRFOR","XR",0.00598174350434276,0.0114141002547787,0.0195878933807056,0.0285845010441283,0.0373750573108295,"BB"
"176",15877,"DELLN","Dell Inc","SNRFOR","XR",0.00516644208727967,0.0113481607515744,0.0206049739415088,0.029314877908349,0.0378660331070557,"BB"
"201",15880,"DELLN","Dell Inc","SNRFOR","XR",0.00579353632354029,0.0122416887102542,0.0216559033664822,0.0310261342228797,0.0401453132708599,"BB"
"210",15881,"DELLN","Dell Inc","SNRFOR","XR",0.00537069923671647,0.0123528950565081,0.0219902350200794,0.0313599759411788,0.0403686451194268,"BB"
"219",15882,"DELLN","Dell Inc","SNRFOR","XR",0.0050448453340406,0.0118630668759775,0.0207668488891726,0.0300051358397113,0.038847471651387,"BB"
"227",15883,"DELLN","Dell Inc","SNRFOR","XR",0.00439028315305027,0.0111283325399968,0.0200862828196478,0.0291341942096835,0.0377576398321205,"BB"
"236",15884,"DELLN","Dell Inc","SNRFOR","XR",0.00503602188920906,0.0118110313627781,0.0209947177289153,0.0302448020563485,0.038999888217843,"BB"
"4",15887,"DELLN","Dell Inc","SNRFOR","XR",0.00514385932202315,0.0119008173915649,0.0210261958510197,0.0302263423711401,0.0390024567534673,"BB"
"12",15888,"DELLN","Dell Inc","SNRFOR","XR",0.00499272207258679,0.0115336035471419,0.0206977582499655,0.0296222302788824,0.0383726069488146,"BB"
"20",15889,"DELLN","Dell Inc","SNRFOR","XR",0.00471248353583837,0.0113152796365451,0.0203624476437291,0.029206870812453,0.0379063462276895,"BB"
"29",15890,"DELLN","Dell Inc","SNRFOR","XR",0.0047124763936516,0.0113150984917939,0.0203609949979622,0.0292009860818404,0.0378918110301888,"BB"
