"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00303849230004446,"AA"
"249",15825,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00298437203677446,"AA"
"5",15826,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00301114770924622,"AA"
"13",15827,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00295617915372258,"AA"
"23",15828,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00287028778544282,"AA"
"49",15831,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00281264598269719,"AA"
"58",15832,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00275483410411165,"AA"
"65",15833,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00272603797925181,"AA"
"73",15834,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00275065831914283,"AA"
"83",15835,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00276298208972923,"AA"
"109",15838,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00281776131267326,"AA"
"118",15839,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00282582836559619,"AA"
"125",15840,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00281045014136576,"AA"
"133",15841,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00280266436162908,"AA"
"143",15842,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00277388268062751,"AA"
"169",15845,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00277463781284754,"AA"
"178",15846,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00275551002678273,"AA"
"185",15847,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00277466285375058,"AA"
"193",15848,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00282385898582483,"AA"
"203",15849,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00288748005303733,"AA"
"229",15852,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.0029193400927391,"AA"
"238",15853,"GOOGLE","GOOGLE INC","SNRFOR","XR",NA,NA,NA,NA,0.00294018668760865,"AA"
