"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00205661787515894,0.00470923171200966,0.00928100500005155,0.0133848790420426,0.0185728458290199,"BBB"
"249",15825,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0020508426954179,0.00458608531109994,0.00914127201182601,0.0130783882865157,0.0183067450390147,"BBB"
"5",15826,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0020659318309943,0.00459941798343685,0.00918210248605797,0.0131195178874639,0.0184008294579899,"BBB"
"13",15827,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00205878650408262,0.00469455956912064,0.00917540137822057,0.0131877505266167,0.018162335364906,"BBB"
"23",15828,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00184371495877457,0.00445000889372216,0.0087450454146303,0.0125652063971608,0.0175806599175182,"BBB"
"49",15831,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00162598833258284,0.00419838273367103,0.00856232165503252,0.0123380719453103,0.017314908844691,"BBB"
"58",15832,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00167170191767459,0.00412845020559802,0.00833050947967429,0.0120106585667456,0.0168582308166791,"BBB"
"65",15833,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00175588741782242,0.00413242793309683,0.00824328916290743,0.0117753131677288,0.0165955687455763,"BBB"
"73",15834,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00178054705469823,0.00420196777954822,0.00817968989499609,0.0117747466288244,0.0163723794017476,"BBB"
"83",15835,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00185850162945034,0.00429644410458864,0.00825780311365277,0.0120723826285796,0.016677067158214,"BBB"
"109",15838,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00182896760930105,0.00430309743509662,0.00847700145426914,0.0122266309925237,0.017041407790194,"BBB"
"118",15839,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00207762127602725,0.004653823621323,0.0089533871799274,0.0128297597602328,0.0178342527518242,"BBB"
"125",15840,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00232112858797665,0.0049053735294631,0.00927777794438019,0.0133545227930933,0.0185538179930379,"BBB"
"133",15841,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00211960079772982,0.00468939532084213,0.0091199619287823,0.0130656061126017,0.0181995186802837,"BBB"
"143",15842,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00216744390118529,0.00463935497213815,0.00893408848724627,0.0127923634007341,0.0179059702593925,"BBB"
"169",15845,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0022418478527882,0.00469565041922158,0.00893708959570012,0.0128654112324461,0.0177426601803235,"BBB"
"178",15846,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00202079234383526,0.00460790504009434,0.00882529316756892,0.0128217485201587,0.0176209559184656,"BBB"
"185",15847,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00175480566164843,0.00403672169582282,0.00822855659018745,0.0118376868690546,0.0164644666180846,"BBB"
"193",15848,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00147087802706879,0.00349390726109267,0.00714616713223942,0.0102498150788235,0.0145045857416337,"BBB"
"203",15849,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00153103842206342,0.00382548603337244,0.00738543701327981,0.0104423247431918,0.0145618046768606,"BBB"
"229",15852,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00153606672128747,0.00384263797336532,0.00742158832076545,0.0104701808572265,0.0146089428899968,"BBB"
"238",15853,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00157292886545854,0.00345884515547522,0.0068281265408606,0.00970975811807373,0.0138305787185083,"BBB"
"246",15854,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00144410936542766,0.00358825106409701,0.00688581391850673,0.00989559650841754,0.0138998835640809,"BBB"
"255",15855,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00143188927694517,0.0034748433041745,0.00673818688576333,0.00968820396783034,0.0135449382295738,"BBB"
"262",15856,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00151967987407623,0.00345047363571389,0.00670816458750034,0.00960077902176051,0.0136410164613696,"BBB"
"21",15859,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00156065740241777,0.00347969142342634,0.00680065399544362,0.0097769354206243,0.0137395922392772,"BBB"
"30",15860,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0017170607206428,0.00360452166217551,0.007196869084143,0.0101352432432395,0.0143472931910761,"BBB"
"39",15861,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00208541141516488,0.00418266555051471,0.00809840705465931,0.0113244566567088,0.0157968949277602,"BBB"
"47",15862,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00187990295868121,0.00392957535911785,0.00790970269326694,0.0112088994303328,0.0156789308305119,"BBB"
