"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"145",15093,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00141480547043683,0.00229965443022604,0.00320817407126739,0.00424073028082091,0.00528765012996914,"BBB"
"29",15100,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00148457402897919,0.0022999621366479,0.00336311826903216,0.00441072284297974,0.00538377704662393,"BBB"
"65",15107,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00145004709300919,0.00230276277335946,0.00329141845722515,0.00437004973985006,0.00538672437452995,"BBB"
"101",15114,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.0017318347464153,0.00261784298743159,0.00372906398731708,0.00487222250867967,0.00597780792144961,"BBB"
"137",15121,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00150422121378281,0.00248508974376931,0.00354670451232422,0.00479103454281759,0.00601397592603263,"BBB"
"14",15128,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00195721987974335,0.00289892724240757,0.00405905058681753,0.00529355962115551,0.006539443523607,"BBB"
"50",15135,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00247261893437262,0.00349113162377275,0.00492243426103822,0.00615086056594178,0.00738365601989135,"BBB"
"86",15142,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00150723929507867,0.00283103121251368,0.00415957386736873,0.00564086088428868,0.00704466141233407,"BBB"
"122",15149,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00176419862424069,0.00304408066926538,0.00463548794844016,0.00608999087804149,0.0074901999635915,"BBB"
"2",15156,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00188644642436756,0.00304007847224182,0.00439586593346096,0.00580584958486675,0.0071733421011716,"BBB"
"38",15163,"HPQ","Hewlett Packard Co","SNRFOR","XR",0.00203614492377237,0.00312421954276436,0.00435090801340977,0.00577392600169174,0.00707678825680115,"BBB"
