Id,YellowKey,Date,DiscountFactor
S0023D 1Y BLC2,Curncy,1/7/2011,0.995138
S0023D 2Y BLC2,Curncy,1/7/2011,0.983054
S0023D 3Y BLC2,Curncy,1/7/2011,0.961209
S0023D 4Y BLC2,Curncy,1/7/2011,0.93116
S0023D 5Y BLC2,Curncy,1/7/2011,0.89507
S0023D 1Y BLC2,Curncy,1/14/2011,0.995499
S0023D 2Y BLC2,Curncy,1/14/2011,0.983966
S0023D 3Y BLC2,Curncy,1/14/2011,0.962289
S0023D 4Y BLC2,Curncy,1/14/2011,0.932688
S0023D 5Y BLC2,Curncy,1/14/2011,0.897221
S0023D 1Y BLC2,Curncy,1/21/2011,0.995443
S0023D 2Y BLC2,Curncy,1/21/2011,0.983279
S0023D 3Y BLC2,Curncy,1/21/2011,0.960881
S0023D 4Y BLC2,Curncy,1/21/2011,0.930233
S0023D 5Y BLC2,Curncy,1/21/2011,0.89321
S0023D 1Y BLC2,Curncy,1/28/2011,0.995671
S0023D 2Y BLC2,Curncy,1/28/2011,0.984655
S0023D 3Y BLC2,Curncy,1/28/2011,0.963209
S0023D 4Y BLC2,Curncy,1/28/2011,0.933145
S0023D 5Y BLC2,Curncy,1/28/2011,0.896735
S0023D 1Y BLC2,Curncy,2/4/2011,0.995255
S0023D 2Y BLC2,Curncy,2/4/2011,0.981074
S0023D 3Y BLC2,Curncy,2/4/2011,0.954934
S0023D 4Y BLC2,Curncy,2/4/2011,0.921061
S0023D 5Y BLC2,Curncy,2/4/2011,0.881785
S0023D 1Y BLC2,Curncy,2/11/2011,0.995005
S0023D 2Y BLC2,Curncy,2/11/2011,0.979404
S0023D 3Y BLC2,Curncy,2/11/2011,0.951804
S0023D 4Y BLC2,Curncy,2/11/2011,0.917141
S0023D 5Y BLC2,Curncy,2/11/2011,0.877534
S0023D 1Y BLC2,Curncy,2/18/2011,0.995449
S0023D 2Y BLC2,Curncy,2/18/2011,0.981023
S0023D 3Y BLC2,Curncy,2/18/2011,0.95475
S0023D 4Y BLC2,Curncy,2/18/2011,0.920966
S0023D 5Y BLC2,Curncy,2/18/2011,0.881812
S0023D 1Y BLC2,Curncy,2/25/2011,0.995694
S0023D 2Y BLC2,Curncy,2/25/2011,0.982109
S0023D 3Y BLC2,Curncy,2/25/2011,0.956834
S0023D 4Y BLC2,Curncy,2/25/2011,0.924423
S0023D 5Y BLC2,Curncy,2/25/2011,0.886816
S0023D 1Y BLC2,Curncy,3/4/2011,0.995764
S0023D 2Y BLC2,Curncy,3/4/2011,0.982426
S0023D 3Y BLC2,Curncy,3/4/2011,0.957179
S0023D 4Y BLC2,Curncy,3/4/2011,0.92415
S0023D 5Y BLC2,Curncy,3/4/2011,0.885432
S0023D 1Y BLC2,Curncy,3/11/2011,0.995799
S0023D 2Y BLC2,Curncy,3/11/2011,0.983678
S0023D 3Y BLC2,Curncy,3/11/2011,0.960289
S0023D 4Y BLC2,Curncy,3/11/2011,0.928621
S0023D 5Y BLC2,Curncy,3/11/2011,0.891341
S0023D 1Y BLC2,Curncy,3/18/2011,0.995853
S0023D 2Y BLC2,Curncy,3/18/2011,0.98436
S0023D 3Y BLC2,Curncy,3/18/2011,0.962128
S0023D 4Y BLC2,Curncy,3/18/2011,0.932228
S0023D 5Y BLC2,Curncy,3/18/2011,0.896303
S0023D 1Y BLC2,Curncy,3/25/2011,0.995276
S0023D 2Y BLC2,Curncy,3/25/2011,0.98148
S0023D 3Y BLC2,Curncy,3/25/2011,0.956304
S0023D 4Y BLC2,Curncy,3/25/2011,0.92405
S0023D 5Y BLC2,Curncy,3/25/2011,0.886472
S0023D 1Y BLC2,Curncy,4/1/2011,0.995476
S0023D 2Y BLC2,Curncy,4/1/2011,0.980516
S0023D 3Y BLC2,Curncy,4/1/2011,0.953972
S0023D 4Y BLC2,Curncy,4/1/2011,0.921189
S0023D 5Y BLC2,Curncy,4/1/2011,0.883552
S0023D 1Y BLC2,Curncy,4/8/2011,0.99577
S0023D 2Y BLC2,Curncy,4/8/2011,0.980582
S0023D 3Y BLC2,Curncy,4/8/2011,0.953534
S0023D 4Y BLC2,Curncy,4/8/2011,0.919313
S0023D 5Y BLC2,Curncy,4/8/2011,0.880278
S0023D 1Y BLC2,Curncy,4/15/2011,0.996087
S0023D 2Y BLC2,Curncy,4/15/2011,0.982994
S0023D 3Y BLC2,Curncy,4/15/2011,0.958332
S0023D 4Y BLC2,Curncy,4/15/2011,0.926124
S0023D 5Y BLC2,Curncy,4/15/2011,0.888998
S0023D 1Y BLC2,Curncy,4/22/2011,0.996077
S0023D 2Y BLC2,Curncy,4/22/2011,0.98335
S0023D 3Y BLC2,Curncy,4/22/2011,0.958966
S0023D 4Y BLC2,Curncy,4/22/2011,0.926792
S0023D 5Y BLC2,Curncy,4/22/2011,0.889946
S0023D 1Y BLC2,Curncy,4/29/2011,0.996131
S0023D 2Y BLC2,Curncy,4/29/2011,0.984443
S0023D 3Y BLC2,Curncy,4/29/2011,0.962336
S0023D 4Y BLC2,Curncy,4/29/2011,0.932638
S0023D 5Y BLC2,Curncy,4/29/2011,0.896928
S0023D 1Y BLC2,Curncy,5/6/2011,0.996299
S0023D 2Y BLC2,Curncy,5/6/2011,0.985339
S0023D 3Y BLC2,Curncy,5/6/2011,0.964057
S0023D 4Y BLC2,Curncy,5/6/2011,0.935435
S0023D 5Y BLC2,Curncy,5/6/2011,0.901216
S0023D 1Y BLC2,Curncy,5/13/2011,0.996365
S0023D 2Y BLC2,Curncy,5/13/2011,0.98547
S0023D 3Y BLC2,Curncy,5/13/2011,0.964259
S0023D 4Y BLC2,Curncy,5/13/2011,0.935727
S0023D 5Y BLC2,Curncy,5/13/2011,0.901178
S0023D 1Y BLC2,Curncy,5/20/2011,0.996397
S0023D 2Y BLC2,Curncy,5/20/2011,0.985932
S0023D 3Y BLC2,Curncy,5/20/2011,0.965197
S0023D 4Y BLC2,Curncy,5/20/2011,0.936837
S0023D 5Y BLC2,Curncy,5/20/2011,0.902641
S0023D 1Y BLC2,Curncy,5/27/2011,0.996374
S0023D 2Y BLC2,Curncy,5/27/2011,0.986699
S0023D 3Y BLC2,Curncy,5/27/2011,0.967501
S0023D 4Y BLC2,Curncy,5/27/2011,0.939907
S0023D 5Y BLC2,Curncy,5/27/2011,0.906632
S0023D 1Y BLC2,Curncy,6/3/2011,0.996402
S0023D 2Y BLC2,Curncy,6/3/2011,0.987568
S0023D 3Y BLC2,Curncy,6/3/2011,0.96955
S0023D 4Y BLC2,Curncy,6/3/2011,0.943246
S0023D 5Y BLC2,Curncy,6/3/2011,0.910155
S0023D 1Y BLC2,Curncy,6/10/2011,0.996394
S0023D 2Y BLC2,Curncy,6/10/2011,0.988252
S0023D 3Y BLC2,Curncy,6/10/2011,0.971269
S0023D 4Y BLC2,Curncy,6/10/2011,0.945442
S0023D 5Y BLC2,Curncy,6/10/2011,0.912768
S0023D 1Y BLC2,Curncy,6/17/2011,0.995899
S0023D 2Y BLC2,Curncy,6/17/2011,0.987277
S0023D 3Y BLC2,Curncy,6/17/2011,0.969971
S0023D 4Y BLC2,Curncy,6/17/2011,0.944005
S0023D 5Y BLC2,Curncy,6/17/2011,0.911054
S0023D 1Y BLC2,Curncy,6/24/2011,0.995543
S0023D 2Y BLC2,Curncy,6/24/2011,0.987406
S0023D 3Y BLC2,Curncy,6/24/2011,0.97156
S0023D 4Y BLC2,Curncy,6/24/2011,0.947033
S0023D 5Y BLC2,Curncy,6/24/2011,0.915512
S0023D 1Y BLC2,Curncy,7/1/2011,0.996008
S0023D 2Y BLC2,Curncy,7/1/2011,0.985653
