"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"496",15460,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000763080901229534,0.00122653722349249,0.00175743066022079,0.0022914816552938,0.00280566092214429,"AA"
"11",15461,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000742268376872076,0.00118601276959899,0.00171653755812204,0.0022885230806644,0.00280623461510119,"AA"
"26",15462,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000742124498315016,0.00123247737547994,0.00180245927145701,0.00227230026217575,0.00291472698767054,"AA"
"44",15463,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000732936993333047,0.00121790042113604,0.00178153907271588,0.00224497898099558,0.00288168373609849,"AA"
"63",15464,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000726801266631875,0.00128026608102714,0.00180088126559557,0.0022908368977674,0.00295866212404776,"AA"
"115",15467,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000695204178494337,0.00123384860951149,0.00176265858412312,0.00222976474709877,0.00292443945798667,"AA"
"131",15468,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000799576588303877,0.00136727512659106,0.0019402845135633,0.00240915207003298,0.00306703945099031,"AA"
"146",15469,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000848199442710979,0.00138302436510526,0.00198059917812753,0.00248501773530565,0.00320648123491251,"AA"
"164",15470,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000827269662004854,0.00136325988286047,0.00196697909361353,0.00246582494584882,0.00317850387410371,"AA"
"183",15471,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000840713062115617,0.00138513676249646,0.00200139224377707,0.0024934859553115,0.00323708351492213,"AA"
"235",15474,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000932351919166576,0.00152967358492596,0.00212770774485933,0.00263770625260852,0.00342343806625531,"AA"
"251",15475,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000951104990270507,0.00156902611363705,0.00222609579182352,0.00277029473419164,0.00345647401089702,"AA"
"266",15476,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00091860224533748,0.00152840875566105,0.00222949432495537,0.00282668513797404,0.00359671643000328,"AA"
"284",15477,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00111719790677732,0.00172543270607183,0.00237650916488018,0.00290112400348954,0.0037573360825655,"AA"
"303",15478,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00120330072606225,0.00182287659126104,0.0024770749004515,0.0030478693224186,0.00382580553506832,"AA"
"355",15481,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00116923835611438,0.00181403204701631,0.00246497988210123,0.00299081769857486,0.00382437190493941,"AA"
"371",15482,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00131368386482562,0.00191707821934351,0.00252006629985278,0.00313672524234138,0.00387726370937823,"AA"
