"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"145",15093,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00111961737205623,0.00172069885743371,0.0023775387854772,0.00319357753951946,0.00393216889448532,"AA"
"29",15100,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00104134162028681,0.00164790786435305,0.00233233072718639,0.00310496662028891,0.00379431825522578,"AA"
"65",15107,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00112671509459985,0.0017062774109678,0.00234235334036634,0.00313895122841852,0.00383334481674363,"AA"
"101",15114,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00119344053997972,0.00169599092629238,0.0023534352784627,0.00314577256349277,0.00394116470587183,"AA"
"137",15121,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00106248580645126,0.00161329089387621,0.00227087491704321,0.00312493583907088,0.00388599077676327,"AA"
"14",15128,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00103706658615321,0.00164661524228886,0.00232629959946784,0.00318450443260869,0.00396095303176408,"AA"
"50",15135,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00144243997210053,0.00197951857181807,0.00272929449738001,0.00351597136725627,0.00420057433537478,"AA"
"86",15142,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00097940566646995,0.00160019439844801,0.00234720783918533,0.00321254147156787,0.00405005876196887,"AA"
"122",15149,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00118539420621645,0.00177935063388321,0.00253498512900523,0.00340120614630605,0.00423735492408021,"AA"
"2",15156,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.000994230498389664,0.0016212307348049,0.00231724989517089,0.00309159902588333,0.00388578020431403,"AA"
"38",15163,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00110778504735639,0.00172122366728835,0.00231127284335071,0.0031669632300127,0.00399332280686139,"AA"
"74",15170,"IBM","Intl Business Machs Corp","SNRFOR","XR",0.00100727068466816,0.00154731932926641,0.00242396629211643,0.00322763531657755,0.00406673494653578,"AA"
