"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"KO","COCACOLA CO","SNRFOR","XR",0.000758301611443212,0.0013904185397949,0.00206431748299253,0.00291787824777518,0.00382363644930828,"AA"
"249",15825,"KO","COCACOLA CO","SNRFOR","XR",0.000757844464148948,0.00138736808269192,0.0020584686151244,0.00290808274458791,0.00381307256098792,"AA"
"5",15826,"KO","COCACOLA CO","SNRFOR","XR",0.000740126912270345,0.00135284937336475,0.00201488346669973,0.00287392560410877,0.0037554042560835,"AA"
"13",15827,"KO","COCACOLA CO","SNRFOR","XR",0.000691110864862924,0.00131093125333445,0.00196615812515281,0.00283848716365625,0.00371129149416159,"AA"
"23",15828,"KO","COCACOLA CO","SNRFOR","XR",0.000666730180984089,0.00127649113797434,0.00191496198537018,0.00276447673700465,0.00362515985418809,"AA"
"49",15831,"KO","COCACOLA CO","SNRFOR","XR",0.000655991482326099,0.00125870190095228,0.00188239183009577,0.00273465791361295,0.00357981067725129,"AA"
"58",15832,"KO","COCACOLA CO","SNRFOR","XR",0.000613082565524634,0.00124126151076207,0.00182470824582905,0.00268751483395004,0.00351856847060748,"AA"
"65",15833,"KO","COCACOLA CO","SNRFOR","XR",0.000599557170413059,0.00126846903033453,0.00181043969004135,0.00264537078712632,0.00345421867551477,"AA"
"73",15834,"KO","COCACOLA CO","SNRFOR","XR",0.000614779315546306,0.00129815566537219,0.00184392658593214,0.00263818886337322,0.00346823830451283,"AA"
"83",15835,"KO","COCACOLA CO","SNRFOR","XR",0.000630262365754439,0.00131796725793184,0.00184642593422078,0.00264795193217646,0.00348242713760156,"AA"
"109",15838,"KO","COCACOLA CO","SNRFOR","XR",0.000634640311415577,0.00131077470743365,0.00183635833759885,0.00262508537299258,0.00348261236636128,"AA"
"118",15839,"KO","COCACOLA CO","SNRFOR","XR",0.000630903011436101,0.00129910055228001,0.00181232534442177,0.00260594454481642,0.00345425240797178,"AA"
"125",15840,"KO","COCACOLA CO","SNRFOR","XR",0.000629550425660677,0.00129562068374029,0.0018058451449579,0.00260012926301899,0.00344774526380783,"AA"
"133",15841,"KO","COCACOLA CO","SNRFOR","XR",0.000627384734759251,0.00129044646797882,0.00179714536431673,0.00258685965406245,0.00343202476371196,"AA"
"143",15842,"KO","COCACOLA CO","SNRFOR","XR",0.000599153919306073,0.00122511965627039,0.00174403313489558,0.00253203424386554,0.00337019632692602,"AA"
"169",15845,"KO","COCACOLA CO","SNRFOR","XR",0.000589273722146253,0.00120363266663916,0.00172485876002046,0.00250638159146807,0.00334459516239493,"AA"
"178",15846,"KO","COCACOLA CO","SNRFOR","XR",0.000586551762390976,0.00118530729224371,0.00172924711174335,0.0025109452940657,0.00335908573437483,"AA"
"185",15847,"KO","COCACOLA CO","SNRFOR","XR",0.000589221493879301,0.00118591962741093,0.00174408246131587,0.00251118176631175,0.00337522106342967,"AA"
"193",15848,"KO","COCACOLA CO","SNRFOR","XR",0.000594892705868725,0.00119662671909678,0.00177130515227161,0.00252470382951321,0.00341209311911037,"AA"
"203",15849,"KO","COCACOLA CO","SNRFOR","XR",0.000582058626912019,0.00118453632715427,0.00170871978214271,0.00239726808044078,0.00327957769790204,"AA"
"229",15852,"KO","COCACOLA CO","SNRFOR","XR",0.000581670697827439,0.00118688715423252,0.00170331688338609,0.00238245053537763,0.00326836054365316,"AA"
"238",15853,"KO","COCACOLA CO","SNRFOR","XR",0.000587311936311361,0.00119166699228676,0.00172714610876623,0.00242272472767254,0.00332606629465377,"AA"
"246",15854,"KO","COCACOLA CO","SNRFOR","XR",0.00059325429025949,0.00120196498128051,0.00174561790868468,0.00244706749594566,0.00338971356123128,"AA"
"255",15855,"KO","COCACOLA CO","SNRFOR","XR",0.000560031888899041,0.00118141690030858,0.00177714777633229,0.00247718251774118,0.00340765036895468,"AA"
"262",15856,"KO","COCACOLA CO","SNRFOR","XR",0.000552290321377352,0.00117973128165599,0.00179263457148037,0.00249538029514779,0.00342615229184503,"AA"
"21",15859,"KO","COCACOLA CO","SNRFOR","XR",0.00055021674704772,0.00117985060670779,0.00179803806806393,0.0025018404364162,0.00343292238881194,"AA"
"30",15860,"KO","COCACOLA CO","SNRFOR","XR",0.000548259852482933,0.00117539006860553,0.00179186878651416,0.00249274269682792,0.00342010218843335,"AA"
"39",15861,"KO","COCACOLA CO","SNRFOR","XR",0.000547540497994353,0.00116611466671801,0.00179545077373378,0.00257378557342906,0.00349647652521625,"AA"
"47",15862,"KO","COCACOLA CO","SNRFOR","XR",0.000546644008823542,0.00116156296917007,0.00179924193000854,0.00253452205226269,0.00348272935912898,"AA"
"56",15863,"KO","COCACOLA CO","SNRFOR","XR",0.000529891268674314,0.00115353498697602,0.00180047412723997,0.00253809031799133,0.00344293469656227,"AA"
"81",15866,"KO","COCACOLA CO","SNRFOR","XR",0.000525218882152653,0.00115187116391939,0.00180225206591994,0.0025408139873253,0.00343351736779629,"AA"
"90",15867,"KO","COCACOLA CO","SNRFOR","XR",0.000509606533249346,0.00113729774658703,0.00173221039285984,0.00242874999438379,0.00329051895217439,"AA"
"99",15868,"KO","COCACOLA CO","SNRFOR","XR",0.00052032473676894,0.00114817681887618,0.00172143424001625,0.00239874611557421,0.00325920888321307,"AA"
"107",15869,"KO","COCACOLA CO","SNRFOR","XR",0.000518972438719432,0.0011440566799248,0.00169839274825505,0.00236020679995116,0.00321229205944405,"AA"
"116",15870,"KO","COCACOLA CO","SNRFOR","XR",0.000516718751127724,0.00113763767011584,0.00168178466335301,0.0023344159710108,0.00317867625684249,"AA"
"141",15873,"KO","COCACOLA CO","SNRFOR","XR",0.000532854814184477,0.00115224168594517,0.00175979496226626,0.00245913798282638,0.00333359401044999,"AA"
"150",15874,"KO","COCACOLA CO","SNRFOR","XR",0.000540079173561583,0.00116192203146186,0.00179382132321823,0.00251187534328934,0.00340080435186747,"AA"
"159",15875,"KO","COCACOLA CO","SNRFOR","XR",0.000527975689922209,0.00115336501999721,0.00172777921913063,0.0024036931837352,0.00326699381226734,"AA"
"167",15876,"KO","COCACOLA CO","SNRFOR","XR",0.000560966060788604,0.00121761597429608,0.00189853386008158,0.00267373897289938,0.00362860969376995,"AA"
"176",15877,"KO","COCACOLA CO","SNRFOR","XR",0.000555826669892004,0.00119359897763443,0.00186011481201692,0.00263716503611143,0.00359244850328081,"AA"
"201",15880,"KO","COCACOLA CO","SNRFOR","XR",0.000565712092546827,0.00120593259336259,0.00189619421931055,0.00270805033605361,0.00368689375302879,"AA"
