"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"46",15831,"PFE","Pfizer Inc","SNRFOR","XR",0.000547068878722742,0.000991741232579997,0.00172636243572419,0.00236055545716339,0.00312982478838083,"AA"
"55",15832,"PFE","Pfizer Inc","SNRFOR","XR",0.000479692036447677,0.000943872359654939,0.00173027925341998,0.00238912929288228,0.00309623119809305,"AA"
"62",15833,"PFE","Pfizer Inc","SNRFOR","XR",0.000405099030520776,0.000876756906285015,0.00167101035456806,0.00231646027200958,0.00300906941138267,"AA"
"70",15834,"PFE","Pfizer Inc","SNRFOR","XR",0.000408545559672471,0.000882673207791902,0.00168192156301018,0.00233462319651283,0.00303176422873346,"AA"
"80",15835,"PFE","Pfizer Inc","SNRFOR","XR",0.000512572386014359,0.00106137078801975,0.00180733137693881,0.00247723049808949,0.00318948226690577,"AA"
"106",15838,"PFE","Pfizer Inc","SNRFOR","XR",0.00050804710580413,0.00104144523488824,0.00176817387528093,0.00253335407365708,0.00325269536086862,"AA"
"115",15839,"PFE","Pfizer Inc","SNRFOR","XR",0.000559522972362753,0.00106563455805896,0.00182175460598214,0.00255255645393322,0.00327818898655783,"AA"
"122",15840,"PFE","Pfizer Inc","SNRFOR","XR",0.000439885800538426,0.000957268239862586,0.00178779218362972,0.00252796520205118,0.00337475940067665,"AA"
"130",15841,"PFE","Pfizer Inc","SNRFOR","XR",0.000511485547199123,0.00104401862319075,0.00184682607075731,0.00254961898802465,0.0033746552020032,"AA"
"140",15842,"PFE","Pfizer Inc","SNRFOR","XR",0.000510886100647724,0.001039641547228,0.00184537769383155,0.0024566077596284,0.00331669179889491,"AA"
"166",15845,"PFE","Pfizer Inc","SNRFOR","XR",0.000489470237140234,0.00100169394722147,0.00180377333161315,0.00240145685689978,0.00329406469428637,"AA"
"175",15846,"PFE","Pfizer Inc","SNRFOR","XR",0.000532260741230993,0.0011234819577003,0.00182450054296641,0.00237599724002661,0.00325422376980085,"AA"
"182",15847,"PFE","Pfizer Inc","SNRFOR","XR",0.000532207439732303,0.00112159652046918,0.0018246305182849,0.00238072660848818,0.00325411263692465,"AA"
