"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"145",15093,"PFE","Pfizer Inc","SNRFOR","XR",0.00159547539857334,0.00278176581156118,0.00387578257427976,0.00504578716819795,0.00617404060965795,"AA"
"29",15100,"PFE","Pfizer Inc","SNRFOR","XR",0.00140808357513426,0.00274990184029881,0.0037268901270503,0.00504631069467878,0.00613078911641003,"AA"
"65",15107,"PFE","Pfizer Inc","SNRFOR","XR",0.00189235799092725,0.00281103439704952,0.00378489477737791,0.00512428353015442,0.00618058817535649,"AA"
"101",15114,"PFE","Pfizer Inc","SNRFOR","XR",0.00157433174575878,0.0027861414479898,0.00368591275525901,0.00496562269552206,0.00613685743601173,"AA"
"137",15121,"PFE","Pfizer Inc","SNRFOR","XR",0.00171907348118263,0.00263263273941126,0.00372094064455452,0.0049538743758293,0.00614024221064753,"AA"
"14",15128,"PFE","Pfizer Inc","SNRFOR","XR",0.00150747764460337,0.00289577530827534,0.00368127148903559,0.00500863310099022,0.00623241710991432,"AA"
"50",15135,"PFE","Pfizer Inc","SNRFOR","XR",0.00174582439489944,0.00281523609967242,0.00399270426429095,0.00518354282349959,0.00646027596488939,"AA"
"86",15142,"PFE","Pfizer Inc","SNRFOR","XR",0.00198856508173679,0.00312718394819828,0.0036854103070466,0.00529820980065934,0.00640983158585429,"AA"
"122",15149,"PFE","Pfizer Inc","SNRFOR","XR",0.00191209286208865,0.00298607704969768,0.0039902568394134,0.00523704202635145,0.00656756074815715,"AA"
"2",15156,"PFE","Pfizer Inc","SNRFOR","XR",0.00170642347475186,0.00274241315427035,0.00382201344814848,0.0050118634690409,0.0063070912381264,"AA"
"38",15163,"PFE","Pfizer Inc","SNRFOR","XR",0.00176659018620852,0.00270884325896748,0.00382686289567621,0.00492796394353914,0.00624085684892066,"AA"
"74",15170,"PFE","Pfizer Inc","SNRFOR","XR",0.00162640221095464,0.00287904038655104,0.00390457715708827,0.00510039012868399,0.00636612765484719,"AA"
"110",15177,"PFE","Pfizer Inc","SNRFOR","XR",0.00169728468368443,0.00276523794130917,0.0039771919345211,0.00515284408850932,0.00639521691176647,"AA"
"146",15184,"PFE","Pfizer Inc","SNRFOR","XR",0.00156865303337783,0.00267612982904448,0.00376592566046196,0.00498125561426551,0.00628756533636368,"AA"
"22",15191,"PFE","Pfizer Inc","SNRFOR","XR",0.00162074347867285,0.00272928618028841,0.00395097022147375,0.00518564488330847,0.00653938279435869,"AA"
"58",15198,"PFE","Pfizer Inc","SNRFOR","XR",0.00203269646936843,0.0032476150836624,0.00431723628807538,0.00559685083067694,0.00702888455811038,"AA"
"94",15205,"PFE","Pfizer Inc","SNRFOR","XR",0.00226864228785638,0.00344073707893335,0.00464486383948363,0.00588683890202841,0.00726586410493596,"AA"
"130",15212,"PFE","Pfizer Inc","SNRFOR","XR",0.00294305985938016,0.00416795350419913,0.00517334668859534,0.00676802617834506,0.0080781002530754,"AA"
"10",15219,"PFE","Pfizer Inc","SNRFOR","XR",0.00236972256566958,0.00342096461666493,0.00465875643734398,0.00592377333063535,0.00723984056324747,"AA"
"46",15226,"PFE","Pfizer Inc","SNRFOR","XR",0.00246172479797238,0.00374793821708503,0.00511659843447471,0.00640857156083583,0.00780679234958741,"AA"
"82",15233,"PFE","Pfizer Inc","SNRFOR","XR",0.00256621298827759,0.00373234500496102,0.00513708686901652,0.00636342788096711,0.00763892487465778,"AA"
"118",15240,"PFE","Pfizer Inc","SNRFOR","XR",0.00256829086933204,0.00417520660755513,0.00557408599274022,0.0070026962726632,0.00831663552189558,"AA"
"154",15247,"PFE","Pfizer Inc","SNRFOR","XR",0.00273233879451329,0.00423799980920113,0.00522483239729188,0.00660959111104377,0.00785427488087956,"AA"
"35",15254,"PFE","Pfizer Inc","SNRFOR","XR",0.00251865094609925,0.00372044384688295,0.00498514563955523,0.00615554667978323,0.00748467037672193,"AA"
"71",15261,"PFE","Pfizer Inc","SNRFOR","XR",0.00218367879389841,0.00324325282326783,0.0045721514447373,0.00569637236881735,0.00696190440176402,"AA"
"107",15268,"PFE","Pfizer Inc","SNRFOR","XR",0.00213015444803991,0.0034516697541757,0.00456078882777021,0.005818364120986,0.00706981803670788,"AA"
"143",15275,"PFE","Pfizer Inc","SNRFOR","XR",0.00210575704246323,0.00316952799170503,0.00445857289648988,0.00555936130226596,0.00677933176531582,"AA"
"19",15282,"PFE","Pfizer Inc","SNRFOR","XR",0.00264720053430613,0.00390000546054053,0.00502484198118889,0.00622264476641788,0.00759294279827633,"AA"
"55",15289,"PFE","Pfizer Inc","SNRFOR","XR",0.0027595178264499,0.00401069935937838,0.00524163975510262,0.00652780117669592,0.0078608906844785,"AA"
"91",15296,"PFE","Pfizer Inc","SNRFOR","XR",0.00282843811962341,0.00431605089717887,0.0056043080915952,0.00691859504582154,0.00828910271027494,"AA"
"127",15303,"PFE","Pfizer Inc","SNRFOR","XR",0.00324680572364813,0.00469562996667455,0.0060773104525089,0.00733418714593711,0.00866856078014013,"AA"
"7",15310,"PFE","Pfizer Inc","SNRFOR","XR",0.00309656643552801,0.00443210263551122,0.00558033863880181,0.00685833189596709,0.00813211145197086,"AA"
"43",15317,"PFE","Pfizer Inc","SNRFOR","XR",0.00323042778314989,0.00456831862309642,0.00588493848461843,0.00713746725135889,0.00848778602240659,"AA"
"79",15324,"PFE","Pfizer Inc","SNRFOR","XR",0.00342701204397112,0.00487807564933968,0.00639453721221077,0.00762176478083208,0.00906734328246042,"AA"
"115",15331,"PFE","Pfizer Inc","SNRFOR","XR",0.00325396252194742,0.00475213460508557,0.0062752216147531,0.00758102561599065,0.00902753288686823,"AA"
"151",15338,"PFE","Pfizer Inc","SNRFOR","XR",0.00325662531462925,0.00494463005940312,0.00615960213513183,0.00748744614927092,0.00896883371479613,"AA"
"27",15345,"PFE","Pfizer Inc","SNRFOR","XR",0.00317064483920562,0.00483565036412792,0.00604561956071918,0.00739251912001208,0.00883223466659058,"AA"
"63",15352,"PFE","Pfizer Inc","SNRFOR","XR",0.00294207307379114,0.00451778387344422,0.0056760685159408,0.00710110269615273,0.00857946290724822,"AA"
"99",15359,"PFE","Pfizer Inc","SNRFOR","XR",0.00270021744747317,0.00428028728906222,0.00544102071577299,0.0068241547071999,0.00820120158035413,"AA"
"135",15366,"PFE","Pfizer Inc","SNRFOR","XR",0.00269776620360512,0.00401687380630551,0.00536974906057943,0.0066255709554132,0.00792496131422497,"AA"
"12",15373,"PFE","Pfizer Inc","SNRFOR","XR",0.00178209835166316,0.00308903789172215,0.00425666491807516,0.00552843895657381,0.00683753266781336,"AA"
"48",15380,"PFE","Pfizer Inc","SNRFOR","XR",0.00208330942615153,0.00345840351237671,0.00444870982604518,0.00566031767172723,0.00694263685122718,"AA"
"84",15387,"PFE","Pfizer Inc","SNRFOR","XR",0.00195888725316944,0.00332827777096439,0.00452822144065831,0.00575405303960243,0.00686857771253056,"AA"
"120",15394,"PFE","Pfizer Inc","SNRFOR","XR",0.00211343743115193,0.00350033501832463,0.00464087066616212,0.00576322935129602,0.00696836803728984,"AA"
"8",15401,"PFE","Pfizer Inc","SNRFOR","XR",0.00185228949835282,0.00295531010900358,0.00417741259580591,0.00533369005026791,0.00649778722348156,"AA"
"44",15408,"PFE","Pfizer Inc","SNRFOR","XR",0.00188190268571755,0.00302697310744805,0.00427207130853649,0.00544696990908607,0.00661303527103994,"AA"
"80",15415,"PFE","Pfizer Inc","SNRFOR","XR",0.0017875296539914,0.00309340265784224,0.00404616210323438,0.00509932092199485,0.00621111503242463,"AA"
"116",15422,"PFE","Pfizer Inc","SNRFOR","XR",0.00160767918560592,0.00275077101122389,0.00383510804670528,0.00479124685981274,0.00582612257626395,"AA"
"152",15429,"PFE","Pfizer Inc","SNRFOR","XR",0.00155517635541064,0.00274065302295022,0.00378559363779948,0.00480357691407918,0.00578966680292781,"AA"
"25",15436,"PFE","Pfizer Inc","SNRFOR","XR",0.00168658154167181,0.00278175838627357,0.00396117040015379,0.00499965055464242,0.00604708918537636,"AA"
"61",15443,"PFE","Pfizer Inc","SNRFOR","XR",0.00171629942235681,0.0027610859749084,0.00387327257558326,0.00513188267068575,0.00622328777899687,"AA"
"97",15450,"PFE","Pfizer Inc","SNRFOR","XR",0.00190263109527308,0.00288318084142816,0.0041430772367168,0.00525058892540775,0.00632420463895052,"AA"
"133",15457,"PFE","Pfizer Inc","SNRFOR","XR",0.00169017357640926,0.00273456233856185,0.00393865465112683,0.00505913768380166,0.00611418911636595,"AA"
"18",15464,"PFE","Pfizer Inc","SNRFOR","XR",0.00170468264413666,0.00280620655129937,0.00413583878868655,0.00519036898953353,0.00624188726042798,"AA"
"54",15471,"PFE","Pfizer Inc","SNRFOR","XR",0.00179883426378291,0.00289534430271734,0.0042195060658774,0.00540605933727732,0.0065141998465118,"AA"
"90",15478,"PFE","Pfizer Inc","SNRFOR","XR",0.00217257799378271,0.00335626824274495,0.00476865819967876,0.00594175885141067,0.00706271055136297,"AA"
"126",15485,"PFE","Pfizer Inc","SNRFOR","XR",0.00191171790580867,0.00311263016100923,0.00451856226219116,0.00589748989201949,0.00699250387853377,"AA"
"3",15492,"PFE","Pfizer Inc","SNRFOR","XR",0.00193879096526372,0.00317733322565235,0.00466505004924306,0.00598234092423745,0.0071072188407721,"AA"
"39",15499,"PFE","Pfizer Inc","SNRFOR","XR",0.0016175113426248,0.00273861663592402,0.00416644391003529,0.00548578167924789,0.00657213794608442,"AA"
"75",15506,"PFE","Pfizer Inc","SNRFOR","XR",0.00167147035192064,0.0027996027812733,0.00418821677324403,0.00533576484648706,0.00646437752422033,"AA"
"111",15513,"PFE","Pfizer Inc","SNRFOR","XR",0.00165132409511518,0.00269781186101901,0.00409060303201151,0.005380454853083,0.00644627883177757,"AA"
"147",15520,"PFE","Pfizer Inc","SNRFOR","XR",0.00169983763431917,0.00281296312444341,0.00424212995066253,0.00538760742130999,0.00655081257026984,"AA"
"28",15527,"PFE","Pfizer Inc","SNRFOR","XR",0.00157628966332051,0.00263111697865443,0.0039886106077381,0.00521456360141382,0.00639907331680435,"AA"
"64",15534,"PFE","Pfizer Inc","SNRFOR","XR",0.00163844244386786,0.00270157002278915,0.00405378066544153,0.00529878955098399,0.00649768086978769,"AA"
"100",15541,"PFE","Pfizer Inc","SNRFOR","XR",0.00150400696762378,0.0025403828176263,0.00392098298877561,0.0051363376147585,0.00618495516916394,"AA"
"136",15548,"PFE","Pfizer Inc","SNRFOR","XR",0.00151229329817781,0.00253237851877986,0.00390952587517249,0.00509276245070214,0.0061685510460771,"AA"
"11",15555,"PFE","Pfizer Inc","SNRFOR","XR",0.00143059768868828,0.00237516374384321,0.00365017852340122,0.00473133336594886,0.00581963322238412,"AA"
"47",15562,"PFE","Pfizer Inc","SNRFOR","XR",0.00139593705087658,0.0023198039196119,0.00368257797381694,0.00486015183646396,0.00587432416487456,"AA"
"83",15569,"PFE","Pfizer Inc","SNRFOR","XR",0.0012976756245681,0.00217009512057617,0.00350914916423231,0.00469470024932225,0.00577251679263995,"AA"
"119",15576,"PFE","Pfizer Inc","SNRFOR","XR",0.00143699783433158,0.00236188793263405,0.00359776289929221,0.00465075832959382,0.00574473596828956,"AA"
"155",15583,"PFE","Pfizer Inc","SNRFOR","XR",0.00144726463152521,0.00234633581083712,0.00358145086096181,0.00467592805427442,0.00580561156274268,"AA"
"36",15590,"PFE","Pfizer Inc","SNRFOR","XR",0.00131086018001505,0.00213444350951677,0.00337906212939792,0.00452592733019115,0.00562449847857224,"AA"
"72",15597,"PFE","Pfizer Inc","SNRFOR","XR",0.00133513868313372,0.002150904719554,0.00328564996524636,0.00428323781305482,0.00527687044447485,"AA"
"108",15604,"PFE","Pfizer Inc","SNRFOR","XR",0.00134630101755959,0.00211474741770959,0.00325242445756543,0.00432076238379633,0.00534796938579835,"AA"
"144",15611,"PFE","Pfizer Inc","SNRFOR","XR",0.00131328978538812,0.00221283584652925,0.00337418800104996,0.00441473128216536,0.00549150142312801,"AA"
