"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"241",15824,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.327673721086512,0.308182415267969,0.29937263346584,NA,0.284466001491744,""
"249",15825,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.327674152752416,0.308182567191619,0.299372735103834,NA,0.284465845787715,""
"5",15826,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.327674584801077,0.308182718938153,0.29937283521479,NA,0.284466117251266,""
"13",15827,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.327675014298379,0.308182868626537,0.299372932339884,NA,0.284465879558251,""
"23",15828,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.428107187417576,0.360608921551713,0.328038162330163,0.304983988796533,0.28692752034715,""
"49",15831,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427840255568958,0.360340509849528,0.327701096204573,0.304720112705194,0.286703207867084,""
"58",15832,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427730638116351,0.360271317187744,0.327674714753719,0.304699057665014,0.286676726336569,""
"65",15833,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427731888190058,0.360272446304092,0.327675574659611,0.304699785447227,0.28667740401599,""
"73",15834,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427350951025612,0.360076122119101,0.327557288216632,0.304571664689493,0.286565509643552,""
"83",15835,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427331138077161,0.360052275296827,0.327514499422824,0.304554277365056,0.28657208470846,""
"109",15838,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.427093472359153,0.359835232772332,0.327271201930814,0.304384289850067,0.28644574618014,""
"118",15839,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426987641370193,0.359749361202598,0.32720961620572,0.304308090969356,0.286343272944663,""
"125",15840,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426892194111314,0.359617389353441,0.327196858873791,0.304282019703374,0.286329321253033,""
"133",15841,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.42663471955387,0.359586914699681,0.327125815695012,0.304213922452641,0.286261829664396,""
"143",15842,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426607552742994,0.359552955925669,0.327070749117501,0.304175779432943,0.286236613294011,""
"169",15845,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426371902788921,0.359320044195185,0.326802945923949,0.30397905098837,0.286086741024936,""
"178",15846,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426268869628437,0.359239916558614,0.326750854581597,0.303918604285264,0.286005880245575,""
"185",15847,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.426165617912474,0.359097290429932,0.326724789412665,0.303878163615042,0.285976815700075,""
"193",15848,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425919866205521,0.359068920290621,0.326663866066947,0.303831200377504,0.285943079782766,""
"203",15849,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425898269029949,0.359039853818607,0.326605104994513,0.303777022798006,0.285885956512569,""
"229",15852,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424018546715081,0.357995036504748,0.325783170066117,0.303193798390154,0.285457945661706,""
"238",15853,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.42556602166237,0.358725329946013,0.326281865477541,0.303515927021504,0.285652885707004,""
"246",15854,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425489568089155,0.358617772708309,0.326288239411565,0.303508744801228,0.285656881988096,""
"255",15855,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425238388547055,0.358551639631292,0.326170717253591,0.303383392494915,0.285525358755191,""
"262",15856,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425239479528375,0.358552632403256,0.326171392431731,0.303383935423925,0.285525901540571,""
"21",15859,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.425001426027104,0.3582942964931,0.325843405911865,0.303124607900158,0.285302918410619,""
"30",15860,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424878903677026,0.358203366098256,0.325793799003092,0.303077473254218,0.285243005654399,""
"39",15861,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424790303225263,0.358059738991512,0.325753294154449,0.303019729858261,0.285195776836508,""
"47",15862,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424560507232452,0.358036922226551,0.325705288593191,0.302987901921633,0.285179615962044,""
"56",15863,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424538002417779,0.357999594804428,0.32563583806472,0.30292402771321,0.285116692110645,""
"81",15866,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424324734688047,0.35777734592086,0.325374765273501,0.302724036073673,0.284950123438084,""
"90",15867,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.42423032462642,0.357701098813587,0.325325960241743,0.30266679309148,0.284872350695579,""
"99",15868,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.424147237832229,0.357567711304833,0.325298443155413,0.302628366317752,0.284851064842159,""
"107",15869,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.423926975034487,0.357535427059569,0.325227782044297,0.30255326324803,0.284764751914598,""
"116",15870,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.423896791265258,0.357492283000932,0.325167497074167,0.302520622353068,0.284761942633753,""
"141",15873,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.423566238200899,0.357245713118393,0.324982311427077,0.302411789489649,0.284713465177914,""
"150",15874,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.423610893534431,0.35724140999732,0.324942986891891,0.302392928132236,0.284692588555973,""
"159",15875,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.423534787060177,0.357189619464432,0.324922407952116,0.302349895382548,0.284649538832338,""
"167",15876,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410737376704779,0.350344940501438,0.320706505052566,0.299457036375192,0.282456020219343,""
"176",15877,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410713100751827,0.350287301268007,0.320615790184329,0.299325465624839,0.282291259242628,""
"201",15880,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410672724908286,0.350222854535769,0.320547359226786,0.299269352438705,0.282251370199447,""
"210",15881,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410638371856367,0.350108091545021,0.320355483185047,0.298999015497606,0.281901796685697,""
"219",15882,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410635119040703,0.350133044595318,0.320427674015811,0.299121736396119,0.282075712907386,""
"227",15883,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.416417996566652,0.352847668601258,0.322426748273293,0.300430036962273,0.282968344700153,""
"236",15884,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410619099677908,0.35012077587616,0.320434585402919,0.299153513242684,0.282128554077463,""
"4",15887,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410553462672018,0.350025067423219,0.320342695465907,0.299076139598723,0.282069981185376,""
"12",15888,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410522152569364,0.349975269273428,0.320280092639448,0.299001503326478,0.281983440861973,""
"20",15889,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410522244607588,0.349975652802838,0.320280445434368,0.299001781887749,0.281983604098286,""
"29",15890,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.41050782523656,0.349940058544402,0.32023209594637,0.298946696785858,0.281925136103447,""
"38",15891,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410481226617641,0.349871530828705,0.32014630131712,0.29884947599854,0.281819583483527,""
"64",15894,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410481494123489,0.349872706410249,0.320147752280535,0.298852059995161,0.281824541877218,""
"72",15895,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410434567962027,0.349782293348206,0.320035354280428,0.298727637788982,0.281691036773028,""
"80",15896,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410414883222378,0.349774217825938,0.320044467914222,0.298760589285273,0.281751054341151,""
"89",15897,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410403000672482,0.349755269170532,0.320036999678913,0.29876514855921,0.281766712169054,""
"98",15898,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410379397811061,0.349680223631632,0.31990712104187,0.298569902508318,0.281497921005266,""
"124",15901,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410372097688117,0.349703525964083,0.319986322299158,0.298721765948156,0.281733213533718,""
"132",15902,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410321147941008,0.349601664517897,0.319854826492497,0.298578124158386,0.281587003592873,""
"140",15903,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410283348276138,0.349552257229685,0.319814442488164,0.298549701750728,0.281570529095488,""
"149",15904,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410283427887033,0.349552596446073,0.319814534928066,0.29854929529152,0.281569196951588,""
"158",15905,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.41025846403859,0.349499670762971,0.319751457598525,0.298479742051323,0.281495046497779,""
"184",15908,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410258697048274,0.349500750465502,0.31975226361465,0.298480170397321,0.281494781391341,""
"192",15909,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410258774152426,0.349501108547838,0.319752569551392,0.298480433909001,0.281495005585083,""
"200",15910,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410258851162371,0.349501470698895,0.319752893757077,0.298480807632499,0.281495491111304,""
"209",15911,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410181140303502,0.349361222954332,0.319601924730303,0.298341151426698,0.281377441321543,""
"218",15912,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410169949573797,0.349328867069499,0.319566466175784,0.29831228864725,0.281354296936913,""
"245",15915,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410151445139233,0.349316070238337,0.319556394654064,0.298298261212849,0.281339076370963,""
"254",15916,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410151516825694,0.349316420079232,0.319556654913884,0.298298489366519,0.281339346521464,""
"260",15917,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410151587728403,0.349316772829928,0.319556979242268,0.29829882592384,0.281339665189822,""
"2",15918,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410057936777442,0.349153624384863,0.319378860257018,0.298125862841534,0.281176853368784,""
"9",15919,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410058005263952,0.349153995248508,0.319379360855951,0.298126944445219,0.281179195364167,""
"35",15922,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.410038861096474,0.349113253173744,0.319328550920695,0.298067792829674,0.281111714726053,""
"43",15923,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409970970629032,0.349017163096783,0.319232474368488,0.297983045641102,0.28104348992434,""
"53",15924,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409964900026962,0.348984964050217,0.319177180391438,0.297908459712173,0.280952160056039,""
"62",15925,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409950361408646,0.348960118202074,0.319155451197442,0.297892684876131,0.28094007165683,""
"69",15926,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409950423622635,0.34896046048638,0.319155756000729,0.297892953782107,0.280940215048408,""
"95",15929,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409922487158471,0.348910314128804,0.319103606845719,0.297847605086489,0.280908444472731,""
"103",15930,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409865847356262,0.348819742766069,0.319002088852417,0.297743816477301,0.280805835701033,""
"113",15931,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409851607462562,0.348801535920027,0.318993150770919,0.297746348557957,0.280819792025771,""
"122",15932,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409826851627928,0.348736419530866,0.318907802779592,0.297647964637084,0.280706842816744,""
"129",15933,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409826908036469,0.348736765979977,0.318908229810986,0.297648746260918,0.280708293551891,""
"155",15936,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409756316401559,0.348620063442984,0.318786335913213,0.297534649499779,0.28060680345621,""
"163",15937,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.40975636964158,0.348620401111887,0.318786711575177,0.297535224259785,0.280607836327099,""
"173",15938,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409745827728902,0.348577292349274,0.31870773086001,0.297413894364714,0.280440704548114,""
"182",15939,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409745879795019,0.348577638564389,0.318708183443081,0.297414757028144,0.280442552987921,""
"189",15940,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409737012580963,0.348572097805551,0.318738218862245,0.297492746895429,0.280570432044996,""
"215",15943,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409717190134944,0.348519802165533,0.318655501527814,0.297381216801557,0.280430440194952,""
"223",15944,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409646368336382,0.348410348682274,0.318539622410806,0.297268371573836,0.280328194682641,""
"233",15945,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409627775285801,0.348393492147531,0.318530981126074,0.297269059566962,0.280337020703489,""
"243",15946,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409616737201662,0.34836686543118,0.318498936828411,0.297237752057427,0.280307237115646,""
"251",15947,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409608313987396,0.348344367597188,0.318467620706798,0.297200042397363,0.280264916393748,""
"15",15950,"QUCAN","QUAD GRAPHICS CANADA INC","SNRFOR","XR",0.409585374688592,0.348307411564189,0.318429539357828,0.297165996919666,0.280236707475069,""
