"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"46",15831,"RSH","RadioShack Corp","SNRFOR","XR",0.0714179896059405,0.0878222722263501,0.0983476017500466,0.103548768830009,0.108541181619301,"CCC"
"55",15832,"RSH","RadioShack Corp","SNRFOR","XR",0.0664556323270985,0.0812504563865479,0.0922845657881207,0.0979766517353357,0.103014770665061,"CCC"
"62",15833,"RSH","RadioShack Corp","SNRFOR","XR",0.0671156668944953,0.0810221415603605,0.0918365955225228,0.0974323585141418,0.10245086759261,"CCC"
"70",15834,"RSH","RadioShack Corp","SNRFOR","XR",0.0676981886681874,0.0816708829005465,0.0932166791533891,0.0988250478204852,0.103850324727725,"CCC"
"80",15835,"RSH","RadioShack Corp","SNRFOR","XR",0.0697178052928375,0.0833411196955592,0.0934180949361787,0.0992900906387589,0.104782867006969,"CCC"
"106",15838,"RSH","RadioShack Corp","SNRFOR","XR",0.070297794462865,0.0841484925688167,0.0947508140536108,0.100303808497228,0.106042738876099,"CCC"
"115",15839,"RSH","RadioShack Corp","SNRFOR","XR",0.0691739343103674,0.0843112524798778,0.0952783048379093,0.100673258224608,0.105600606880942,"CCC"
"122",15840,"RSH","RadioShack Corp","SNRFOR","XR",0.0690565476284387,0.08348271772184,0.093769912305789,0.0992839395427682,0.104630205507883,"CCC"
"130",15841,"RSH","RadioShack Corp","SNRFOR","XR",0.0671221722105404,0.0816879306169631,0.0910043885435422,0.0968436943118099,0.102280108714011,"CCC"
"140",15842,"RSH","RadioShack Corp","SNRFOR","XR",0.0651244510184072,0.0803633638101673,0.0903063176913746,0.0954277150413443,0.100137589133081,"CCC"
"166",15845,"RSH","RadioShack Corp","SNRFOR","XR",0.0646649490765076,0.0790863665211079,0.0881636017419209,0.093525466932031,0.0986751912810599,"CCC"
"175",15846,"RSH","RadioShack Corp","SNRFOR","XR",0.0651032658045174,0.0787176430794133,0.0874819840635379,0.0929124371974649,0.0980481212542909,"CCC"
"182",15847,"RSH","RadioShack Corp","SNRFOR","XR",0.0620186433340485,0.0748042490560064,0.084338037958007,0.0900153360252007,0.0952160476028221,"CCC"
"190",15848,"RSH","RadioShack Corp","SNRFOR","XR",0.0615997036689855,0.0749098146816175,0.0843806046175944,0.0906724349823133,0.0962202191871372,"CCC"
"200",15849,"RSH","RadioShack Corp","SNRFOR","XR",0.0617614370157733,0.0771818800243572,0.0859385348141348,0.0920187584650036,0.0977410691762051,"CCC"
"226",15852,"RSH","RadioShack Corp","SNRFOR","XR",0.062150690552387,0.0777451952834232,0.086256333484556,0.0920367473186513,0.0976761597199746,"CCC"
"235",15853,"RSH","RadioShack Corp","SNRFOR","XR",0.0632242441403042,0.0782546867569401,0.0869370235524691,0.0924612075246376,0.0982927706445022,"CCC"
"242",15854,"RSH","RadioShack Corp","SNRFOR","XR",0.0670637093924546,0.0810716403524126,0.090401802226514,0.0964132562918339,0.101352927647041,"CCC"
"250",15855,"RSH","RadioShack Corp","SNRFOR","XR",0.0664988328881493,0.0816225376990393,0.0909744244084225,0.0973189778987985,0.102421114325355,"CCC"
"257",15856,"RSH","RadioShack Corp","SNRFOR","XR",0.066943859345608,0.0825506778958879,0.0920787564118533,0.0973755838226288,0.10322299745961,"CCC"
"19",15859,"RSH","RadioShack Corp","SNRFOR","XR",0.0703103674436589,0.0866699256777666,0.0960022353732286,0.100982971797494,0.106601137261727,"CCC"
"27",15860,"RSH","RadioShack Corp","SNRFOR","XR",0.0689468642835056,0.0861082718779621,0.0947300291142646,0.100861715712349,0.106459704144451,"CCC"
"36",15861,"RSH","RadioShack Corp","SNRFOR","XR",0.074414628516574,0.0938970197180506,0.10348315386547,0.109061121565134,0.114801572611027,"CCC"
"44",15862,"RSH","RadioShack Corp","SNRFOR","XR",0.0750513594657621,0.0957954472186657,0.10430201942304,0.109590710892392,0.114949304273661,"CCC"
"53",15863,"RSH","RadioShack Corp","SNRFOR","XR",0.07557732930872,0.0947781507055943,0.103309788122235,0.108653806781938,0.11419781513882,"CCC"
"78",15866,"RSH","RadioShack Corp","SNRFOR","XR",0.077596015443569,0.0941142730676332,0.103411723859828,0.108522009410507,0.11410993157181,"CCC"
"87",15867,"RSH","RadioShack Corp","SNRFOR","XR",0.0817988193800108,0.0992786862866718,0.108340332143119,0.114197980734492,0.119369116611745,"CCC"
"96",15868,"RSH","RadioShack Corp","SNRFOR","XR",0.0781291009674479,0.0982161000341124,0.108929245675924,0.114093959481687,0.119266365813059,"CCC"
"104",15869,"RSH","RadioShack Corp","SNRFOR","XR",0.0789116541621575,0.0993134841747274,0.109130627114217,0.114821288739057,0.120232054225988,"CCC"
"113",15870,"RSH","RadioShack Corp","SNRFOR","XR",0.0780976061358108,0.100324277534717,0.109273736432322,0.114910765986237,0.120086321066417,"CCC"
"138",15873,"RSH","RadioShack Corp","SNRFOR","XR",0.078584294833744,0.0987585091161704,0.108374820611279,0.113916067502837,0.118889461261753,"CCC"
"147",15874,"RSH","RadioShack Corp","SNRFOR","XR",0.0793390017885766,0.099116452554851,0.108891282070235,0.114460228073208,0.119726288420866,"CCC"
"156",15875,"RSH","RadioShack Corp","SNRFOR","XR",0.0781477527944645,0.0982942181479231,0.108238645361411,0.114337688348268,0.119144961870268,"CCC"
"164",15876,"RSH","RadioShack Corp","SNRFOR","XR",0.0873217802564133,0.108069646179755,0.118731778079854,0.123989482238433,0.130354530117035,"CCC"
"173",15877,"RSH","RadioShack Corp","SNRFOR","XR",0.096786979995869,0.119401866683925,0.128451201662252,0.132375475586044,0.138366500537618,"CCC"
"198",15880,"RSH","RadioShack Corp","SNRFOR","XR",0.105172943241802,0.125979893073248,0.135359814795053,0.140924860718577,0.146127191210185,"CCC"
"207",15881,"RSH","RadioShack Corp","SNRFOR","XR",0.100100307942619,0.120575570124107,0.128319301951576,0.133578036324651,0.139027460140915,"CCC"
"216",15882,"RSH","RadioShack Corp","SNRFOR","XR",0.0985655676174402,0.114309483294574,0.121881724430827,0.128137004041918,0.13339114344254,"CCC"
"224",15883,"RSH","RadioShack Corp","SNRFOR","XR",0.0937357050309827,0.110330383549929,0.117975964362676,0.124141004384823,0.129334318364657,"CCC"
"233",15884,"RSH","RadioShack Corp","SNRFOR","XR",0.0924876049192636,0.109619910091859,0.117432436637027,0.122994701538466,0.128730478439812,"CCC"
"4",15887,"RSH","RadioShack Corp","SNRFOR","XR",0.092283235508341,0.108267809756594,0.116077893446332,0.121914421854807,0.127391213504514,"CCC"
"11",15888,"RSH","RadioShack Corp","SNRFOR","XR",0.090061132162054,0.107920583577612,0.116967421774527,0.122086943438461,0.127559202476611,"CCC"
"18",15889,"RSH","RadioShack Corp","SNRFOR","XR",0.0908555713612108,0.107815918191397,0.116722962802875,0.121866374504777,0.127712744489196,"CCC"
"26",15890,"RSH","RadioShack Corp","SNRFOR","XR",0.0922254720716026,0.107895950481853,0.116182745926278,0.121592706100114,0.12711287501178,"CCC"
"35",15891,"RSH","RadioShack Corp","SNRFOR","XR",0.0916415120044258,0.10846816991513,0.117148941192157,0.122343218618748,0.128149892639989,"CCC"
"61",15894,"RSH","RadioShack Corp","SNRFOR","XR",0.0913767494150936,0.10866393479808,0.116735442338627,0.121573353716036,0.127290835675515,"CCC"
"69",15895,"RSH","RadioShack Corp","SNRFOR","XR",0.0858166523728794,0.0994337715232427,0.1093084765617,0.115327505998189,0.120989216876347,"CCC"
"77",15896,"RSH","RadioShack Corp","SNRFOR","XR",0.0882637280418154,0.101385369658638,0.110819664326357,0.116048644099984,0.122174279056879,"CCC"
"86",15897,"RSH","RadioShack Corp","SNRFOR","XR",0.144226029646885,0.141810961818017,0.143293605289335,0.140974596256445,0.143511729901363,"CCC"
"95",15898,"RSH","RadioShack Corp","SNRFOR","XR",0.125318987298182,0.126844160221511,0.129300169745516,0.130226738969727,0.133712655377974,"CCC"
"121",15901,"RSH","RadioShack Corp","SNRFOR","XR",0.124670790573907,0.122464425911237,0.123870377471448,0.12622377107052,0.130012848669625,"CCC"
"129",15902,"RSH","RadioShack Corp","SNRFOR","XR",0.122161267771506,0.119863295470659,0.1213325210018,0.123330665127536,0.127267768108456,"CCC"
"137",15903,"RSH","RadioShack Corp","SNRFOR","XR",0.124896317714117,0.1231545115111,0.123009142764314,0.125023349015379,0.129072951753191,"CCC"
"146",15904,"RSH","RadioShack Corp","SNRFOR","XR",0.125396885582581,0.126066710026768,0.125442013622533,0.126946961047167,0.130441219398682,"CCC"
"155",15905,"RSH","RadioShack Corp","SNRFOR","XR",0.128562809188279,0.12901571945583,0.127291312765191,0.127814494011979,0.130979357682778,"CCC"
"181",15908,"RSH","RadioShack Corp","SNRFOR","XR",0.142210730675886,0.140363611532537,0.137072038162339,0.137716674623841,0.140565267279946,"CCC"
"189",15909,"RSH","RadioShack Corp","SNRFOR","XR",0.148590121571208,0.153205966722375,0.154328686563728,0.153538077477026,0.155413326412756,"CCC"
"197",15910,"RSH","RadioShack Corp","SNRFOR","XR",0.1481549870905,0.15933012932948,0.157946122576272,0.157072783387948,0.158574436631196,"CCC"
"206",15911,"RSH","RadioShack Corp","SNRFOR","XR",0.149395603237281,0.162919099122511,0.161431598967218,0.160182499452418,0.161501102103691,"CCC"
"215",15912,"RSH","RadioShack Corp","SNRFOR","XR",0.149011620920592,0.162036154719949,0.160451329531583,0.159484875172859,0.160546766557947,"CCC"
"241",15915,"RSH","RadioShack Corp","SNRFOR","XR",0.148784001477406,0.159998857538413,0.159352082184861,0.158269660162674,0.159569411494544,"CCC"
"249",15916,"RSH","RadioShack Corp","SNRFOR","XR",0.149969123540234,0.163566924693183,0.160950261502543,0.159869202705326,0.161147333488712,"CCC"
"255",15917,"RSH","RadioShack Corp","SNRFOR","XR",0.149855009748461,0.162844441488471,0.161489046203,0.160305215809922,0.16118876216526,"CCC"
"2",15918,"RSH","RadioShack Corp","SNRFOR","XR",0.142933056303909,0.156151623363626,0.157635339986527,0.155998268374842,0.157002183088528,"CCC"
"8",15919,"RSH","RadioShack Corp","SNRFOR","XR",0.166660780115445,0.175471072621938,0.171481452202943,0.168626664085929,0.169909159723352,"CCC"
"32",15922,"RSH","RadioShack Corp","SNRFOR","XR",0.169040037850598,0.176103049112777,0.172309430586395,0.168804457351395,0.170414626205321,"CCC"
"40",15923,"RSH","RadioShack Corp","SNRFOR","XR",0.173107375522083,0.177638203170599,0.174651403034274,0.170720764722933,0.171880147123182,"CCC"
"50",15924,"RSH","RadioShack Corp","SNRFOR","XR",0.171639299274353,0.175930941162956,0.173971954214666,0.171271200104107,0.172866748923709,"CCC"
"59",15925,"RSH","RadioShack Corp","SNRFOR","XR",0.169189854209243,0.171616770040107,0.171955560665013,0.168117775862924,0.16906612895821,"CCC"
"66",15926,"RSH","RadioShack Corp","SNRFOR","XR",0.164433128712905,0.168272421336014,0.168852454515329,0.165450764115882,0.166813808763648,"CCC"
