"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"496",15460,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00417513611269511,0.00494070618262514,0.00582505495762109,0.00672901540941252,0.00770003559636609,"BBB"
"11",15461,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0041751962747559,0.00494075230349126,0.00582507947893608,0.00672905114292358,0.00770008546218894,"BBB"
"26",15462,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341092782632323,0.00437961222845724,0.00538027224414641,0.00647902182393367,0.00764324781582201,"BBB"
"44",15463,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341074809466019,0.0043793276006195,0.00537996335616338,0.00647876441257809,0.00764307281877763,"BBB"
"63",15464,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341058119490084,0.00437911717830781,0.00537973964095648,0.00647852744786168,0.00764283988469836,"BBB"
"115",15467,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341058279994688,0.00437911889743284,0.00537974135354004,0.00647852881640958,0.00764284076661626,"BBB"
"131",15468,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341042305227827,0.0043789889185853,0.00537960283700501,0.00647842933632032,0.00764277131305484,"BBB"
"146",15469,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341028158243039,0.00437902938749186,0.00537976117037279,0.00647863912542774,0.00764297501848092,"BBB"
"164",15470,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341018325404144,0.00437918763577676,0.00538005608724309,0.0064790185423792,0.00764334008684648,"BBB"
"183",15471,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341021736784694,0.00437912956677308,0.00537992026811484,0.00647885133497768,0.00764318289540224,"BBB"
"235",15474,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00341001786406147,0.00437899458141711,0.00537987407571326,0.00647882383307939,0.00764313508438335,"BBB"
"251",15475,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00344335747916317,0.00437919964944877,0.00538024608916348,0.00647921976130144,0.00767688154432614,"BBB"
"266",15476,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00351011915159809,0.00447937873771529,0.00544704957367913,0.00651263834284576,0.00767689128860614,"BBB"
"284",15477,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00351054311378486,0.00448000775766304,0.00544758421197344,0.00651296226533957,0.00767704276630622,"BBB"
"303",15478,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00351047675902921,0.00448000144648882,0.00544765661129714,0.00651310929334297,0.00767717968367575,"BBB"
"355",15481,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00351062655911039,0.00448022137337908,0.00544799866462221,0.00651349230513912,0.00767751067953809,"BBB"
