"","Date","Ticker","ShortName","Tier","DocClause","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","AvRating"
"145",15093,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000886916501416999,0.00133979888149258,0.00215475958704522,0.00285254944940922,0.00352286914372897,"BBB"
"29",15100,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000626883554495926,0.00142981314294803,0.00210893552943318,0.00287439552412211,0.00353616206288321,"BBB"
"65",15107,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000765893068393207,0.0015018849923465,0.00202793605285673,0.00287880563962585,0.00361775151702469,"BBB"
"101",15114,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0009562232726275,0.00156759543585107,0.00220832951312625,0.00286277646331016,0.00352852724362725,"BBB"
"137",15121,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000921030388925798,0.00143688321167711,0.00227241979513768,0.0028993436293427,0.00355468050954227,"BBB"
"14",15128,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00103126255107149,0.00144021337350613,0.00226978861501291,0.00289715694281556,0.00352259706737143,"BBB"
"50",15135,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00111558248732287,0.00178051937392066,0.00249684139786544,0.00275314132422957,0.00387388623479556,"BBB"
"86",15142,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00103061080404207,0.0014448993055922,0.00238713403650086,0.00309176169730945,0.00374373522405747,"BBB"
"122",15149,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000910361053942813,0.00138731624247753,0.00244037404918695,0.00314883210985945,0.00380547690307459,"BBB"
"2",15156,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.0008717282616268,0.00142925259462379,0.00233163107099975,0.00309028864655074,0.00373013756741633,"BBB"
"38",15163,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000895749166093051,0.00136901980263013,0.0023928155928555,0.00308055224173555,0.00371522292250948,"BBB"
"74",15170,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.00090954307107697,0.00138705804478,0.00242528205958228,0.00312287588689298,0.0037677591807526,"BBB"
"110",15177,"TMSNRC","Thomson Reuters Corp","SNRFOR","XR",0.000912805678169271,0.00139235337627907,0.00243573212541825,0.00313685835202595,0.00378490079212878,"BBB"
