Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,35.99,36.35,35.96,36.32,1498200,36.32
2014-06-26,36.07,36.23,35.74,36.06,629700,36.06
2014-06-25,36.11,36.15,35.92,36.07,623100,36.07
2014-06-24,36.06,36.15,35.93,35.99,650400,35.99
2014-06-23,36.01,36.14,35.87,36.07,709700,36.07
2014-06-20,35.83,36.07,35.76,36.04,1038500,36.04
2014-06-19,35.88,35.92,35.63,35.67,790500,35.67
2014-06-18,35.70,35.88,35.47,35.79,549400,35.79
2014-06-17,35.29,35.83,35.26,35.66,594500,35.66
2014-06-16,35.34,35.48,35.34,35.44,515500,35.44
2014-06-13,35.33,35.50,35.25,35.41,541700,35.41
2014-06-12,35.19,35.44,35.12,35.33,644100,35.33
2014-06-11,35.34,35.38,35.15,35.25,604700,35.25
2014-06-10,35.26,35.42,35.12,35.38,605500,35.38
2014-06-09,34.96,35.30,34.90,35.29,635400,35.29
2014-06-06,34.79,35.06,34.68,34.97,617400,34.97
2014-06-05,34.51,34.79,34.31,34.72,674000,34.72
2014-06-04,34.39,34.60,34.07,34.53,2065700,34.53
2014-06-03,34.96,35.20,34.38,34.39,3374100,34.39
2014-06-02,35.06,35.22,34.99,35.18,553200,35.18
2014-05-30,34.85,34.88,34.62,34.69,815400,34.69
2014-05-29,35.24,35.35,34.68,34.84,741600,34.84
2014-05-28,35.30,35.31,34.97,35.09,912700,35.09
2014-05-27,35.34,35.50,35.10,35.23,502300,35.23
2014-05-23,35.15,35.18,34.92,35.16,430000,35.16
2014-05-22,35.21,35.30,34.96,35.09,420300,35.09
2014-05-21,34.70,35.35,34.70,35.32,656100,35.32
2014-05-20,35.36,35.54,34.66,34.68,820800,34.68
2014-05-19,35.71,35.84,35.64,35.77,467300,35.44
2014-05-16,35.78,35.88,35.43,35.82,439600,35.49
2014-05-15,36.30,36.44,35.71,35.85,615200,35.52
2014-05-14,36.12,36.36,36.09,36.30,771300,35.97
2014-05-13,36.04,36.20,35.92,36.11,581000,35.78
2014-05-12,35.82,36.08,35.61,36.03,808500,35.70
2014-05-09,35.35,35.71,35.35,35.60,900800,35.27
2014-05-08,35.50,35.60,35.41,35.51,533000,35.18
2014-05-07,35.34,35.55,35.22,35.48,1092500,35.15
2014-05-06,35.42,35.46,35.17,35.36,1088200,35.03
2014-05-05,35.60,35.60,35.16,35.27,972900,34.94
2014-05-02,35.76,35.96,35.63,35.70,694500,35.37
2014-05-01,36.18,36.42,35.70,35.81,993500,35.48
2014-04-30,35.15,36.56,35.06,36.18,1370700,35.85
2014-04-29,34.84,35.17,34.77,34.83,1290500,34.51
2014-04-28,34.62,34.84,34.39,34.65,727400,34.33
2014-04-25,34.18,34.70,34.10,34.59,522100,34.27
2014-04-24,34.53,34.53,34.18,34.41,427200,34.09
2014-04-23,34.66,34.67,34.41,34.41,532100,34.09
2014-04-22,34.97,34.98,34.64,34.69,581200,34.37
2014-04-21,34.80,34.94,34.70,34.82,334900,34.50
2014-04-17,34.81,34.90,34.66,34.82,500600,34.50
2014-04-16,34.46,34.79,34.45,34.73,950000,34.41
2014-04-15,34.11,34.39,34.02,34.32,769700,34.00
2014-04-14,34.15,34.35,33.96,34.23,821700,33.91
2014-04-11,34.46,34.60,33.84,33.91,912900,33.60
2014-04-10,35.00,35.23,34.67,34.67,925800,34.35
2014-04-09,35.14,35.17,34.73,35.09,732600,34.77
2014-04-08,35.08,35.16,34.89,35.09,582900,34.77
2014-04-07,34.96,35.14,34.88,34.94,1175500,34.62
2014-04-04,35.30,35.32,35.07,35.14,1226800,34.82
2014-04-03,34.96,35.29,34.92,35.05,1287700,34.73
2014-04-02,34.68,34.97,34.56,34.92,826000,34.60
2014-04-01,34.22,34.71,34.15,34.70,643100,34.38
2014-03-31,34.24,34.38,34.15,34.20,540700,33.88
2014-03-28,34.05,34.31,33.98,34.06,447200,33.75
2014-03-27,34.04,34.15,33.77,34.01,595400,33.70
2014-03-26,34.37,34.42,34.03,34.08,617700,33.77
2014-03-25,34.30,34.43,34.12,34.23,932800,33.91
2014-03-24,34.18,34.43,34.09,34.18,828000,33.86
2014-03-21,33.84,34.39,33.68,34.31,1100700,33.99
2014-03-20,34.00,34.17,33.65,33.70,1418000,33.39
2014-03-19,33.92,34.29,33.78,34.01,973700,33.70
2014-03-18,33.81,34.28,33.70,34.03,836600,33.72
2014-03-17,33.55,33.96,33.55,33.81,784500,33.50
2014-03-14,33.50,33.76,33.21,33.43,679200,33.12
2014-03-13,33.75,33.91,33.46,33.58,850500,33.27
2014-03-12,33.68,33.84,33.49,33.71,772600,33.40
2014-03-11,34.11,34.30,33.91,33.98,593700,33.67
2014-03-10,34.02,34.28,34.02,34.16,448400,33.84
2014-03-07,34.40,34.43,34.06,34.17,641500,33.85
2014-03-06,34.50,34.58,34.32,34.44,639400,34.12
2014-03-05,34.16,34.42,34.03,34.39,558600,34.07
2014-03-04,34.07,34.33,34.05,34.15,875100,33.83
2014-03-03,34.13,34.23,33.74,33.96,1010300,33.65
2014-02-28,34.42,34.62,34.26,34.34,911800,34.02
