Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,34.00,35.20,33.81,35.16,22167200,35.16
2014-06-12,33.74,34.30,33.29,33.39,12562500,33.39
2014-06-11,33.46,33.63,33.14,33.25,5715000,33.25
2014-06-10,33.63,33.84,33.48,33.61,4694500,33.61
2014-06-09,33.69,33.92,33.45,33.74,6783000,33.74
2014-06-06,33.84,33.99,33.77,33.84,5985200,33.68
2014-06-05,33.71,33.90,33.56,33.87,6225100,33.71
2014-06-04,33.55,33.87,33.46,33.76,5664500,33.60
2014-06-03,33.42,33.81,33.23,33.69,8078100,33.53
2014-06-02,33.37,33.64,33.05,33.43,10206200,33.27
2014-05-30,33.56,33.80,33.36,33.50,12427900,33.34
2014-05-29,33.42,33.83,33.33,33.64,9858000,33.48
2014-05-28,33.05,33.58,33.00,33.35,9502700,33.19
2014-05-27,33.50,33.65,32.80,33.10,20948600,32.94
2014-05-23,32.31,34.09,32.24,33.72,40760000,33.56
2014-05-22,32.45,33.36,31.21,31.78,32458800,31.63
2014-05-21,32.98,33.09,32.38,32.52,10259300,32.37
2014-05-20,33.14,33.24,32.69,32.80,8765900,32.64
2014-05-19,32.55,33.17,32.48,33.11,10141300,32.95
2014-05-16,32.37,32.52,32.19,32.52,8030100,32.37
2014-05-15,32.97,33.09,32.35,32.41,7216200,32.26
2014-05-14,33.13,33.34,32.90,32.97,6792000,32.81
2014-05-13,32.92,33.34,32.81,33.28,7346200,33.12
2014-05-12,32.40,32.89,32.38,32.82,5983100,32.66
2014-05-09,32.23,32.40,32.00,32.36,5603000,32.21
2014-05-08,32.29,32.81,32.09,32.23,6690200,32.08
2014-05-07,32.34,32.46,31.85,32.32,8460700,32.17
2014-05-06,32.48,32.60,32.10,32.13,7052400,31.98
2014-05-05,32.29,32.58,32.03,32.50,7027000,32.35
2014-05-02,32.74,32.79,32.39,32.49,6418500,32.34
2014-05-01,33.12,33.28,32.52,32.64,8956900,32.49
2014-04-30,32.78,33.27,32.64,33.06,11338200,32.90
2014-04-29,32.72,33.09,32.62,32.96,12261600,32.80
2014-04-28,31.65,32.33,31.50,32.19,10631600,32.04
2014-04-25,31.83,31.93,31.43,31.58,9104900,31.43
2014-04-24,31.94,32.08,31.75,32.00,11635700,31.85
2014-04-23,31.84,31.96,31.59,31.74,8790500,31.59
2014-04-22,31.89,32.07,31.63,31.77,13541100,31.62
2014-04-21,32.04,32.44,31.88,31.94,15289800,31.79
2014-04-17,32.29,32.49,31.45,31.93,21235000,31.78
2014-04-16,32.60,33.10,32.29,32.49,11551300,32.34
2014-04-15,32.99,33.00,31.88,32.39,13160400,32.24
2014-04-14,32.60,33.29,32.56,32.90,13850800,32.74
2014-04-11,32.57,32.94,32.29,32.45,18736000,32.30
2014-04-10,33.30,33.90,32.79,32.80,25617800,32.64
2014-04-09,32.64,32.88,32.28,32.72,12587300,32.57
2014-04-08,32.69,32.78,31.94,32.45,13600200,32.30
2014-04-07,32.90,33.10,32.51,32.70,12201000,32.55
2014-04-04,33.23,33.48,32.41,32.64,13662800,32.49
2014-04-03,33.62,33.64,32.84,33.00,15483300,32.84
2014-04-02,33.34,33.66,33.01,33.61,14189500,33.45
2014-04-01,32.30,33.45,32.29,33.23,16457900,33.07
2014-03-31,32.29,32.59,32.25,32.36,8803500,32.21
2014-03-28,32.19,32.55,31.94,32.04,11122700,31.89
2014-03-27,32.16,32.29,31.65,31.93,12374400,31.78
2014-03-26,32.77,33.12,32.33,32.35,17237700,32.20
2014-03-25,31.82,32.56,31.75,32.56,17230000,32.41
2014-03-24,32.02,32.21,31.60,31.63,13328800,31.48
2014-03-21,31.83,32.21,31.65,31.95,23672600,31.80
2014-03-20,31.50,32.41,31.46,31.48,23917900,31.33
2014-03-19,30.60,31.74,30.57,31.62,23166800,31.47
2014-03-18,30.03,30.63,29.90,30.56,19156500,30.42
2014-03-17,29.25,29.69,29.23,29.48,7074100,29.34
2014-03-14,28.87,29.38,28.83,29.07,8117000,28.93
2014-03-13,29.64,29.85,28.75,28.91,13214100,28.77
2014-03-12,29.81,29.84,29.41,29.59,7404300,29.45
2014-03-11,30.00,30.26,29.78,29.91,7073200,29.77
2014-03-10,30.05,30.26,29.85,29.90,7427800,29.76
2014-03-07,30.25,30.48,30.04,30.34,9285400,30.05
2014-03-06,29.99,30.20,29.85,30.09,7135200,29.80
2014-03-05,30.12,30.15,29.85,29.94,6507200,29.66
2014-03-04,29.93,30.24,29.86,30.12,13336700,29.83
2014-03-03,29.26,29.85,28.82,29.73,12456000,29.45
2014-02-28,29.84,30.36,29.65,29.88,13148800,29.60
2014-02-27,29.72,29.89,29.63,29.75,11122000,29.47
2014-02-26,29.91,30.20,29.81,29.90,9007000,29.62
2014-02-25,29.82,30.00,29.57,29.88,9205400,29.60
2014-02-24,29.66,30.17,29.45,29.92,14418000,29.64
2014-02-21,30.62,30.71,29.50,29.79,29806400,29.51
2014-02-20,29.32,30.28,29.10,30.19,26730100,29.90
2014-02-19,29.43,29.77,29.26,29.45,14889200,29.17
2014-02-18,30.00,30.05,29.57,29.58,11250800,29.30
2014-02-14,29.86,30.12,29.72,30.02,9514000,29.74
2014-02-13,29.31,29.92,29.18,29.83,9492600,29.55
2014-02-12,29.36,29.79,29.36,29.42,9725500,29.14
2014-02-11,28.88,29.49,28.80,29.36,8613600,29.08
2014-02-10,29.01,29.23,28.64,28.81,7813700,28.54
2014-02-07,28.70,29.16,28.69,29.07,7537300,28.79
2014-02-06,28.23,28.66,28.20,28.49,6693700,28.22
2014-02-05,28.17,28.44,27.90,28.01,10278000,27.74
2014-02-04,28.14,28.41,27.89,28.33,9581300,28.06
2014-02-03,29.06,29.29,27.96,28.04,14655400,27.77
2014-01-31,28.94,29.19,28.74,29.00,12934300,28.72
2014-01-30,29.15,29.42,29.08,29.25,9095700,28.97
2014-01-29,28.92,29.15,28.75,29.02,13915700,28.74
2014-01-28,28.57,29.08,28.49,29.00,12407000,28.72
2014-01-27,28.53,29.09,28.38,28.60,15924800,28.33
2014-01-24,29.04,29.20,28.39,28.49,17016600,28.22
2014-01-23,29.42,29.73,29.06,29.37,9905300,29.09
2014-01-22,29.63,30.13,29.46,29.84,10237500,29.56
2014-01-21,29.80,29.96,29.45,29.90,12086500,29.62
2014-01-17,29.75,30.05,29.67,29.80,16056400,29.52
2014-01-16,29.50,29.82,29.12,29.56,22064600,29.28
