,"UK instantaneous commercial bank liability forward curve, short end",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
years:,0.08,0.17,0.25,0.33,0.42,0.50,0.58,0.67,0.75,0.83,0.92,1.00,1.08,1.17,1.25,1.33,1.42,1.50,1.58,1.67,1.75,1.83,1.92,2.00,2.08,2.17,2.25,2.33,2.42,2.50,2.58,2.67,2.75,2.83,2.92,3.00,3.08,3.17,3.25,3.33,3.42,3.50,3.58,3.67,3.75,3.83,3.92,4.00,4.08,4.17,4.25,4.33,4.42,4.50,4.58,4.67,4.75,4.83,4.92,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Jan 05,4.84882193704710000,4.86410274665553000,4.86611578765793000,4.85057169469340000,4.82401527359808000,4.79624912351569000,4.77271808441133000,4.75480240198283000,4.74219206436905000,4.73396692683456000,4.72927633567803000,4.72733138406793000,4.72744477459058000,4.72934738170678000,4.73273056791191000,4.73742963425950000,4.74317752508929000,4.74963550502527000,4.75638876689230000,4.76315534043387000,4.76971479261657000,4.77593300409286000,4.78176563010850000,4.78716650235219000,4.79201098312952000,4.79628623200688000,4.80003716530987000,4.80330869936563000,4.80614575050132000,4.80859323504410000,4.81069606932112000,4.81249916965954000,4.81404745238650000,4.81538583382917000,4.81655923031469000,4.81761255817023000,4.81858352981866000,4.81948104194147000,4.82030678725356000,4.82106245846987000,4.82174974830536000,4.82237034947495000,4.82292595469358000,4.82341825667620000,4.82384894813775000,4.82421972179316000,4.82453227035738000,4.82478828654533000,4.82498919898800000,4.82513514899383000,4.82522588619738000,4.82526116014118000,4.82524072036774000,4.82516431641960000,4.82503169783929000,4.82484261416934000,4.82459681495226000,4.82429404973060000,4.82393406804687000,4.82351661944361000
05 Jan 05,4.85041130992668000,4.85861849184374000,4.86009184502274000,4.85213582611366000,4.83474826795076000,4.81175609840224000,4.78949520221947000,4.77270467453633000,4.76203318409738000,4.75604467628534000,4.75337659570272000,4.75295305960362000,4.75369270997092000,4.75513945108818000,4.75692368555546000,4.75891938518218000,4.76112840119061000,4.76353384552098000,4.76612603409841000,4.76891373107010000,4.77190854233262000,4.77510733926229000,4.77849292760199000,4.78203751893077000,4.78558011187384000,4.78905475376206000,4.79245975775080000,4.79579343699003000,4.79905410462974000,4.80224007381993000,4.80534965771057000,4.80838116945166000,4.81133292219318000,4.81420322908512000,4.81699040327747000,4.81969275792021000,4.82230864884870000,4.82483663997368000,4.82727535851439000,4.82962343170479000,4.83187948677882000,4.83404215097043000,4.83611005151359000,4.83808181564222000,4.83995607059029000,4.84173144359175000,4.84340656188054000,4.84498005269061000,4.84645055690986000,4.84781677570903000,4.84907742688907000,4.85023122825164000,4.85127689759844000,4.85221315273114000,4.85303871145142000,4.85375229156098000,4.85435261086149000,4.85483838715463000,4.85520833824209000,4.85546118192554000
06 Jan 05,4.85405018670485000,4.85866297635208000,4.85496038952044000,4.84334624324881000,4.82671258996170000,4.80921956589736000,4.79499299986321000,4.78481967374510000,4.77711968715099000,4.77035431801032000,4.76409533684734000,4.75855292257392000,4.75415221320461000,4.75107616203500000,4.74937213511958000,4.74899648054528000,4.74969276397715000,4.75115515868572000,4.75300593250082000,4.75504791626426000,4.75715508667581000,4.75929594027301000,4.76152177890503000,4.76389610920076000,4.76659090052354000,4.76963822084688000,4.77298877543364000,4.77659324933014000,4.78040232758273000,4.78436669523773000,4.78843703734148000,4.79256403894031000,4.79669838508057000,4.80079076080858000,4.80479185117067000,4.80865234121319000,4.81233018698663000,4.81581544547252000,4.81910702974318000,4.82220385315655000,4.82510482907054000,4.82780887084309000,4.83031489183212000,4.83262180539556000,4.83472852489133000,4.83663396367737000,4.83833703511160000,4.83983665255195000,4.84113375927540000,4.84223826051072000,4.84316253393727000,4.84391895731419000,4.84451990840063000,4.84497776495575000,4.84530490473867000,4.84551370550856000,4.84561654502455000,4.84562580104581000,4.84555385133146000,4.84541307364067000
07 Jan 05,4.85731013301390000,4.86993191057450000,4.86190824042637000,4.83724546973854000,4.80914456245012000,4.78670000050024000,4.77063686713917000,4.75876396789125000,4.74856084543157000,4.73894288326763000,4.73024874500405000,4.72291655144230000,4.71716098724246000,4.71306908965253000,4.71062826351473000,4.70982093870270000,4.71044683655057000,4.71223182607364000,4.71467599023076000,4.71756610740255000,4.72081266044025000,4.72432613219512000,4.72801700551844000,4.73179576326146000,4.73558518038101000,4.73936230046865000,4.74311913887030000,4.74684771141483000,4.75054003393107000,4.75418812224787000,4.75778399219407000,4.76131965959852000,4.76478714029005000,4.76817845009753000,4.77148560484978000,4.77470062037566000,4.77781656431346000,4.78083071155801000,4.78374138882252000,4.78654692282028000,4.78924564026458000,4.79183586786872000,4.79431593234597000,4.79668416040964000,4.79893887877301000,4.80107841414938000,4.80310109325202000,4.80500524279424000,4.80679010830971000,4.80845899185956000,4.81001631463250000,4.81146649785323000,4.81281396274647000,4.81406313053693000,4.81521842244933000,4.81628425970838000,4.81726506353880000,4.81816525516529000,4.81898925581258000,4.81974148670537000
10 Jan 05,4.85090235231400000,4.85829904372736000,4.84915131331885000,4.82934138529974000,4.80713649278371000,4.78680952074939000,4.77024583706801000,4.75742199571762000,4.74653925006008000,4.73645996013145000,4.72756159099486000,4.72034497031369000,4.71505413934828000,4.71167292620732000,4.71012254661615000,4.71011378335015000,4.71123957886362000,4.71308559536016000,4.71523457937289000,4.71749656593860000,4.71975211383487000,4.72200141993397000,4.72431872512673000,4.72677710256863000,4.72941614243906000,4.73222371044668000,4.73517820182989000,4.73825801182492000,4.74144153566800000,4.74470716859533000,4.74803330584316000,4.75139834264770000,4.75478067424518000,4.75815869587182000,4.76151080276385000,4.76481539015748000,4.76805351521537000,4.77121688285059000,4.77429985992598000,4.77729681330423000,4.78020210984800000,4.78301011641998000,4.78571519988283000,4.78831172709922000,4.79079406493184000,4.79315658024335000,4.79539363989642000,4.79749961075374000,4.79947000288504000,4.80130648396094000,4.80301278568460000,4.80459264125708000,4.80604978387942000,4.80738794675268000,4.80861086307791000,4.80972226605615000,4.81072588888847000,4.81162546477591000,4.81242472691953000,4.81312740852038000
11 Jan 05,4.84426654908240000,4.85595362686442000,4.84539598692954000,4.81665115024883000,4.78514415443134000,4.76024197145178000,4.74299660398152000,4.73131677265194000,4.72268324228184000,4.71542491890050000,4.70938507367939000,4.70486404695507000,4.70201843129593000,4.70078375736282000,4.70100460800718000,4.70233074055539000,4.70440493633792000,4.70689449858832000,4.70951720441935000,4.71216450178023000,4.71477411999352000,4.71737063247399000,4.72002780004606000,4.72283188435918000,4.72593253172909000,4.72934099931442000,4.73301886703369000,4.73692771480365000,4.74102912254107000,4.74528467016269000,4.74965593758527000,4.75410450472557000,4.75859195150034000,4.76307985782633000,4.76752980362030000,4.77190336879900000,4.77616765009246000,4.78031181157894000,4.78433053419769000,4.78821849888792000,4.79197038658887000,4.79558087823976000,4.79904465477982000,4.80235639714825000,4.80551078628430000,4.80850250312717000,4.81132622861611000,4.81397664369032000,4.81644986271938000,4.81874898757800000,4.82087924612030000,4.82284586670035000,4.82465407767218000,4.82630910738987000,4.82781618420745000,4.82918053647899000,4.83040739255853000,4.83150198080013000,4.83246952955786000,4.83331526718574000
