,UK OIS spot curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maturity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
months:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
years:,0.08,0.17,0.25,0.33,0.42,0.50,0.58,0.67,0.75,0.83,0.92,1.00,1.08,1.17,1.25,1.33,1.42,1.50,1.58,1.67,1.75,1.83,1.92,2.00,2.08,2.17,2.25,2.33,2.42,2.50,2.58,2.67,2.75,2.83,2.92,3.00,3.08,3.17,3.25,3.33,3.42,3.50,3.58,3.67,3.75,3.83,3.92,4.00,4.08,4.17,4.25,4.33,4.42,4.50,4.58,4.67,4.75,4.83,4.92,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Jan 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Jan 09,1.27972415731927000,1.17148294323232000,1.08010591484081000,1.00798647437057000,0.95382772621747300,0.91511037530169200,0.88913023957199000,0.87386281816598400,0.86803738180879500,0.87086799786788800,0.88175156554680300,0.90007406592987100,0.92501570255967700,0.95563032089723900,0.99104268129548300,1.03044345211020000,1.07306982522725000,1.11819259289197000,1.16511355683837000,1.21321448248779000,1.26198655753779000,1.31100916104522000,1.35993069139150000,1.40845418725669000,1.45632710252574000,1.50334180470554000,1.54933730523633000,1.59419199305252000,1.63781684537448000,1.68014999632745000,1.72115235679569000,1.76080405555384000,1.79910152746532000,1.83605511552816000,1.87168708399858000,1.90602996266071000,1.93912484530589000,1.97101655523445000,2.00174928588497000,2.03136630135735000,2.05991004974635000,2.08742226028507000,2.11394402693354000,2.13951588056881000,2.16417785154974000,2.18796952412116000,2.21093008387279000,2.23309835926583000,2.25451276995772000,2.27521032142150000,2.29522564156827000,2.31459110133579000,2.33333702761041000,2.35149189249109000,2.36908248190642000,2.38613404616556000,2.40267043466171000,2.41871421664070000,2.43428678968807000,2.44940847736743000
05 Jan 09,1.20460130575077000,1.10847030754752000,1.02833107626087000,0.96721475758745800,0.92307847731431000,0.89322454471245200,0.87508217797804600,0.86659068015882200,0.86648481905600900,0.87404840839917100,0.88878540691522800,0.91019677405615500,0.93760133687331800,0.97021690337139900,1.00729862213356000,1.04813704867888000,1.09204773165765000,1.13836427034470000,1.18643935307718000,1.23569249410613000,1.28563903040886000,1.33587171230796000,1.38604387448317000,1.43585681423034000,1.48505134543985000,1.53341232571174000,1.58077217744517000,1.62700341778651000,1.67201174574193000,1.71573051186737000,1.75811625834122000,1.79914509527327000,1.83880973586664000,1.87711705478641000,1.91408606509361000,1.94974623235690000,1.98413572902447000,2.01729672081586000,2.04927137828416000,2.08010156806937000,2.10982888996089000,2.13849470866550000,2.16614018114254000,2.19280628021156000,2.21853381501230000,2.24336344879599000,2.26733571444539000,2.29049102805484000,2.31286962649183000,2.33451050690220000,2.35545023718723000,2.37572303500273000,2.39536098947047000,2.41439425826462000,2.43285124319794000,2.45075874699510000,2.46814211356359000,2.48502535375376000,2.50143125832986000,2.51738149964377000
06 Jan 09,1.17375982719832000,1.08377873819262000,1.01207532726148000,0.96148788837473200,0.92821115862321100,0.90815101725826200,0.89844854211405800,0.89725621494626300,0.90339120194742100,0.91613265131872900,0.93500607611027400,0.95960512076750300,0.98939293906313600,1.02372071855345000,1.06194121022571000,1.10341560468895000,1.14751104993233000,1.19359899653183000,1.24106077533270000,1.28934599408791000,1.33800833651543000,1.38668581332863000,1.43508243028079000,1.48295443919841000,1.53010042542784000,1.57635884299856000,1.62160609752786000,1.66575024831351000,1.70872555080257000,1.75048809056654000,1.79101226231355000,1.83028790908574000,1.86831798160262000,1.90511661066144000,1.94070750998323000,1.97512264525115000,2.00840080508640000,2.04058334132224000,2.07171056462039000,2.10182158426553000,2.13095445467462000,2.15914630097643000,2.18643342706828000,2.21285140893782000,2.23843517554187000,2.26321907913586000,2.28723695662503000,2.31052218324678000,2.33310766309861000,2.35502513467831000,2.37630444598805000,2.39697364602843000,2.41705915451434000,2.43658591273473000,2.45557751795501000,2.47405634341910000,2.49204364571978000,2.50955966106167000,2.52662369173488000,2.54325418394112000
07 Jan 09,1.11343734665742000,1.02873071397730000,0.96262593352947800,0.91444189989759100,0.88054188789564000,0.85801377698190900,0.84485131558871800,0.83981235465044700,0.84215460852470800,0.85134588925636400,0.86686215428408700,0.88815769306640500,0.91461594621410200,0.94556842613072100,0.98037960263886100,1.01844298262053000,1.05917256970556000,1.10199717075733000,1.14636171036273000,1.19177046265312000,1.23781334003559000,1.28414946180416000,1.33049210916431000,1.37659744150142000,1.42225667270069000,1.46729728327664000,1.51158396314041000,1.55501263845388000,1.59750508606919000,1.63900462508033000,1.67947264226806000,1.71888576902379000,1.75723357156013000,1.79451664873129000,1.83074505594142000,1.86593699173489000,1.90011750437849000,1.93331507743042000,1.96555836291830000,1.99687585798365000,2.02729592376607000,2.05684680159398000,2.08555662691618000,2.11345344133358000,2.14056520302678000,2.16691979582345000,2.19254503710828000,2.21746868474407000,2.24171838191551000,2.26532094158070000,2.28830166210204000,2.31068439781840000,2.33249169527361000,2.35374491430866000,2.37446433594374000,2.39466925870153000,2.41437808479118000,2.43360839737677000,2.45237702998785000,2.47070012898901000
08 Jan 09,1.09082081663728000,0.98735031924506700,0.90698844298365300,0.85253145838520700,0.81871245276258600,0.79997130344133800,0.79199464701572000,0.79192500902859200,0.79807835104196500,0.80948403140218500,0.82554978261985000,0.84584802422718800,0.87002519927541400,0.89775150455169300,0.92867372242374100,0.96241902184025300,0.99860072698355200,1.03682216305414000,1.07668242112906000,1.11780584148359000,1.15986031181267000,1.20254919356825000,1.24560361027299000,1.28877666375548000,1.33184009226612000,1.37459423761245000,1.41687781007274000,1.45856263011937000,1.49954791978694000,1.53975573574522000,1.57912728629352000,1.61761993891854000,1.65520477193264000,1.69186455817598000,1.72759209436968000,1.76238880891010000,1.79626344776449000,1.82922936966206000,1.86130213119350000,1.89249903438378000,1.92283891383407000,1.95234195427222000,1.98102953356126000,2.00892408711590000,2.03604899039675000,2.06242845673143000,2.08808744817979000,2.11305159754096000,2.13734706824705000,2.16099965039933000,2.18403390111867000,2.20647317524863000,2.22833973877773000,2.24965486965937000,2.27043894763322000,2.29071153442286000,2.31049144549157000,2.32979681437516000,2.34864515047237000,2.36705339105632000
09 Jan 09,1.10052847105331000,0.99574292139366200,0.91331830178972400,0.85367215564423700,0.81324909405919000,0.78799817163291700,0.77439836860353500,0.76980695971485700,0.77244137034784700,0.78122532047424400,0.79553469253429900,0.81489237904915500,0.83877480693462600,0.86662749247674300,0.89792214108332900,0.93215360172669400,0.96883306008297900,1.00748350057948000,1.04764060756109000,1.08888593014216000,1.13086704119467000,1.17328486318459000,1.21588207043399000,1.25843439081772000,1.30074472169718000,1.34264637033363000,1.38400618039744000,1.42471938737368000,1.46470472342247000,1.50390050126644000,1.54226145603556000,1.57975617926593000,1.61636501944434000,1.65207835304491000,1.68689515195950000,1.72082178968965000,1.75387088069408000,1.78605874086645000,1.81740323870899000,1.84792345285397000,1.87763952448688000,1.90657253085201000,1.93474437640842000,1.96217769882819000,1.98889578752841000,2.01492251282923000,2.04028226415575000,2.06499989596451000,2.08910061216410000,2.11260912225714000,2.13554883778645000,2.15794191362122000,2.17980936651103000,2.20117118046734000,2.22204640064872000,2.24245321718705000,2.26240904018982000,2.28193056698364000,2.30103384251939000,2.31973431373686000
